,R,G,B
0,0,0,0
1,0,0,44
2,0,0,87
3,0,0,129
4,0,0,170
5,0,0,210
6,0,0,248
7,0,0,255
8,0,0,255
9,0,44,0
10,0,44,32
11,0,32,87
12,0,32,129
13,0,32,170
14,0,32,210
15,0,32,248
16,0,32,255
17,0,32,255
18,0,87,0
19,0,87,32
20,0,87,64
21,0,64,129
22,0,64,170
23,0,64,210
24,0,64,248
25,0,64,255
26,0,64,255
27,0,129,0
28,0,129,32
29,0,129,64
30,0,129,96
31,0,96,170
32,0,96,210
33,0,96,248
34,0,96,255
35,0,96,255
36,0,170,0
37,0,170,32
38,0,170,64
39,0,170,96
40,0,170,128
41,0,128,210
42,0,128,248
43,0,128,255
44,0,128,255
45,0,210,0
46,0,210,32
47,0,210,64
48,0,210,96
49,0,210,128
50,0,210,160
51,0,160,248
52,0,160,255
53,0,160,255
54,0,248,0
55,0,248,32
56,0,248,64
57,0,248,96
58,0,248,128
59,0,248,160
60,0,248,192
61,0,192,255
62,0,192,255
63,0,255,0
64,0,255,32
65,0,255,64
66,0,255,96
67,0,255,128
68,0,255,160
69,0,255,192
70,0,255,224
71,0,224,255
72,0,255,0
73,0,255,32
74,0,255,64
75,0,255,96
76,0,255,128
77,0,255,160
78,0,255,192
79,0,255,224
80,0,255,255
81,44,0,0
82,44,0,32
83,32,0,87
84,32,0,129
85,32,0,170
86,32,0,210
87,32,0,248
88,32,0,255
89,32,0,255
90,44,32,0
91,32,32,32
92,19,32,76
93,8,32,119
94,0,32,161
95,0,32,202
96,0,32,242
97,0,32,255
98,0,32,255
99,32,87,0
100,19,76,32
101,19,76,64
102,8,64,119
103,0,64,161
104,0,64,202
105,0,64,242
106,0,64,255
107,0,64,255
108,32,129,0
109,8,119,32
110,8,119,64
111,8,119,96
112,0,96,161
113,0,96,202
114,0,96,242
115,0,96,255
116,0,96,255
117,32,170,0
118,0,161,32
119,0,161,64
120,0,161,96
121,0,161,128
122,0,128,202
123,0,128,242
124,0,128,255
125,0,128,255
126,32,210,0
127,0,202,32
128,0,202,64
129,0,202,96
130,0,202,128
131,0,202,160
132,0,160,242
133,0,160,255
134,0,160,255
135,32,248,0
136,0,242,32
137,0,242,64
138,0,242,96
