,R,G,B
0,0,0,0
1,0,0,36
2,0,0,74
3,0,0,111
4,0,0,149
5,0,0,188
6,0,0,228
7,0,0,255
8,0,0,255
9,0,36,0
10,0,36,32
11,0,32,74
12,0,32,111
13,0,32,149
14,0,32,188
15,0,32,228
16,0,32,255
17,0,32,255
18,0,74,0
19,0,74,32
20,0,74,64
21,0,64,111
22,0,64,149
23,0,64,188
24,0,64,228
25,0,64,255
26,0,64,255
27,0,111,0
28,0,111,32
29,0,111,64
30,0,111,96
31,0,96,149
32,0,96,188
33,0,96,228
34,0,96,255
35,0,96,255
36,0,149,0
37,0,149,32
38,0,149,64
39,0,149,96
40,0,149,128
41,0,128,188
42,0,128,228
43,0,128,255
44,0,128,255
45,0,188,0
46,0,188,32
47,0,188,64
48,0,188,96
49,0,188,128
50,0,188,160
51,0,160,228
52,0,160,255
53,0,160,255
54,0,228,0
55,0,228,32
56,0,228,64
57,0,228,96
58,0,228,128
59,0,228,160
60,0,228,192
61,0,192,255
62,0,192,255
63,0,255,0
64,0,255,32
65,0,255,64
66,0,255,96
67,0,255,128
68,0,255,160
69,0,255,192
70,0,255,224
71,0,224,255
72,0,255,0
73,0,255,32
74,0,255,64
75,0,255,96
76,0,255,128
77,0,255,160
78,0,255,192
79,0,255,224
80,0,255,255
81,36,0,0
82,36,0,32
83,32,0,74
84,32,0,111
85,32,0,149
86,32,0,188
87,32,0,228
88,32,0,255
89,32,0,255
90,36,32,0
91,32,32,32
92,27,32,68
93,22,32,106
94,16,32,143
95,10,32,181
96,3,32,220
97,0,32,255
98,0,32,255
99,32,74,0
100,27,68,32
101,27,68,64
102,22,64,106
103,16,64,143
104,10,64,181
105,3,64,220
106,0,64,255
107,0,64,255
108,32,111,0
109,22,106,32
110,22,106,64
111,22,106,96
112,16,96,143
113,10,96,181
114,3,96,220
115,0,96,255
116,0,96,255
117,32,149,0
118,16,143,32
119,16,143,64
120,16,143,96
121,16,143,128
122,10,128,181
123,3,128,220
124,0,128,255
125,0,128,255
126,32,188,0
127,10,181,32
128,10,181,64
129,10,181,96
130,10,181,128
131,10,181,160
132,3,160,220
133,0,160,255
134,0,160,255
135,32,228,0
136,3,220,32
137,3,220,64
138,3,220,96
139,3,220,128
140,3,220,160
141,3,220,192
142,0,192,255
143,0,192,255
144,32,255,0
145,0,255,32
146,0,255,64
147,0,255,96
148,0,255,128
149,0,255,160
150,0,255,192
151,0,255,224
152,0,224,255
153,32,255,0
154,0,255,32
155,0,255,64
156,0,255,96
157,0,255,128
158,0,255,160
159,0,255,192
160,0,255,224
161,0,255,255
162,74,0,0
163,74,0,32
164,74,0,64
165,64,0,111
166,64,0,149
167,64,0,188
168,64,0,228
169,64,0,255
170,64,0,255
171,74,32,0
172,68,27,32
173,68,27,64
174,64,22,106
175,64,16,143
176,64,10,181
177,64,3,220
178,64,0,255
179,64,0,255
180,74,64,0
181,28,26,10
182,26,26,26
183,59,64,100
184,0,24,193
185,0,4,255
186,12,43,243
187,35,64,252
188,28,64,255
189,64,111,0
190,64,106,22
191,59,100,64
192,59,100,96
193,28,96,163
194,0,79,245
195,42,96,213
196,35,96,252
197,28,96,255
198,64,149,0
199,64,143,16
200,0,203,17
201,21,170,96
202,54,138,128
203,48,128,175
204,0,138,255
205,0,121,255
206,28,127,255
207,64,188,0
208,64,181,10
209,48,175,64
210,0,255,75
211,48,175,128
212,48,175,160
213,0,191,255
214,35,160,252
215,28,160,255
216,64,228,0
217,64,220,3
218,42,213,64
219,42,213,96
220,42,213,128
221,42,213,160
222,42,213,192
223,35,192,252
224,28,192,255
225,64,255,0
226,64,255,0
227,35,252,64
228,35,252,96
229,35,252,128
230,35,252,160
231,35,252,192
232,35,252,224
233,28,224,255
234,64,255,0
235,64,255,0
236,28,255,64
237,28,255,96
238,28,255,128
239,28,255,160
240,28,255,192
241,28,255,224
242,28,255,255
243,111,0,0
244,111,0,32
245,111,0,64
246,111,0,96
247,96,0,149
248,96,0,188
249,96,0,228
250,96,0,255
251,96,0,255
252,111,32,0
253,106,22,32
254,106,22,64
255,106,22,96
256,96,16,143
257,96,10,181
258,96,3,220
259,96,0,255
260,96,0,255
261,111,64,0
262,106,64,22
263,50,23,26
264,100,59,96
265,96,54,138
266,79,0,248
267,85,12,243
268,80,0,255
269,96,28,255
270,111,96,0
271,106,96,22
272,50,47,23
273,47,47,47
274,91,96,132
275,31,56,225
276,80,96,207
277,44,75,255
278,67,96,255
279,96,149,0
280,96,143,16
281,96,138,54
282,59,163,72
283,91,132,128
284,60,128,195
285,0,121,255
286,29,112,255
287,67,128,255
288,96,188,0
289,96,181,10
290,96,175,48
291,21,235,49
292,53,202,128
293,86,170,160
294,0,183,255
295,29,167,255
296,67,160,255
297,96,228,0
298,96,220,3
299,96,213,42
300,80,207,96
301,80,207,128
302,80,207,160
303,80,207,192
304,74,192,245
305,67,192,255
306,96,255,0
307,96,255,0
308,96,252,35
309,74,245,96
310,74,245,128
311,74,245,160
312,74,245,192
313,74,245,224
314,67,224,255
315,96,255,0
316,96,255,0
317,96,255,28
318,67,255,96
319,67,255,128
320,67,255,160
321,67,255,192
322,67,255,224
323,67,255,255
324,149,0,0
325,149,0,32
326,149,0,64
327,149,0,96
328,149,0,128
329,128,0,188
330,128,0,228
331,128,0,255
332,128,0,255
333,149,32,0
334,143,16,32
335,143,16,64
336,143,16,96
337,143,16,128
338,128,10,181
339,128,3,220
340,128,0,255
341,128,0,255
342,149,64,0
343,143,64,16
344,138,54,64
345,138,54,96
346,138,54,128
347,128,48,175
348,128,42,213
349,128,35,252
350,128,28,255
351,149,96,0
352,143,96,16
353,138,96,54
354,132,91,96
355,132,91,128
356,128,86,170
357,128,80,207
358,128,74,245
359,128,67,255
360,149,128,0
