,R,G,B
0,0,0,0
1,0,0,45
2,0,0,89
3,0,0,132
4,0,0,173
5,0,0,212
6,0,0,250
7,0,0,255
8,0,0,255
9,0,45,0
10,0,45,32
11,0,32,89
12,0,32,132
13,0,32,173
14,0,32,212
15,0,32,250
16,0,32,255
17,0,32,255
18,0,89,0
19,0,89,32
20,0,89,64
21,0,64,132
22,0,64,173
23,0,64,212
24,0,64,250
25,0,64,255
26,0,64,255
27,0,132,0
28,0,132,32
29,0,132,64
30,0,132,96
31,0,96,173
32,0,96,212
33,0,96,250
34,0,96,255
35,0,96,255
36,0,173,0
37,0,173,32
38,0,173,64
39,0,173,96
40,0,173,128
41,0,128,212
42,0,128,250
43,0,128,255
44,0,128,255
45,0,212,0
46,0,212,32
47,0,212,64
48,0,212,96
49,0,212,128
50,0,212,160
51,0,160,250
52,0,160,255
53,0,160,255
54,0,250,0
55,0,250,32
56,0,250,64
57,0,250,96
58,0,250,128
59,0,250,160
60,0,250,192
61,0,192,255
62,0,192,255
63,0,255,0
64,0,255,32
65,0,255,64
66,0,255,96
67,0,255,128
68,0,255,160
69,0,255,192
70,0,255,224
71,0,224,255
72,0,255,0
73,0,255,32
74,0,255,64
75,0,255,96
76,0,255,128
77,0,255,160
78,0,255,192
79,0,255,224
80,0,255,255
81,45,0,0
82,45,0,32
83,32,0,89
84,32,0,132
85,32,0,173
86,32,0,212
87,32,0,250
88,32,0,255
89,32,0,255
90,45,32,0
91,32,32,32
92,18,32,77
93,6,32,121
94,0,32,164
95,0,32,205
96,0,32,244
97,0,32,255
98,0,32,255
99,32,89,0
100,18,77,32
101,18,77,64
102,6,64,121
103,0,64,164
104,0,64,205
105,0,64,244
106,0,64,255
107,0,64,255
108,32,132,0
109,6,121,32
110,6,121,64
111,6,121,96
112,0,96,164
113,0,96,205
114,0,96,244
115,0,96,255
116,0,96,255
117,32,173,0
118,0,164,32
119,0,164,64
120,0,164,96
121,0,164,128
122,0,128,205
123,0,128,244
124,0,128,255
125,0,128,255
126,32,212,0
127,0,205,32
128,0,205,64
129,0,205,96
130,0,205,128
131,0,205,160
132,0,160,244
133,0,160,255
134,0,160,255
135,32,250,0
136,0,244,32
137,0,244,64
138,0,244,96
139,0,244,128
140,0,244,160
141,0,244,192
142,0,192,255
143,0,192,255
144,32,255,0
145,0,255,32
146,0,255,64
147,0,255,96
148,0,255,128
149,0,255,160
150,0,255,192
151,0,255,224
152,0,224,255
153,32,255,0
154,0,255,32
155,0,255,64
156,0,255,96
157,0,255,128
158,0,255,160
159,0,255,192
160,0,255,224
161,0,255,255
162,89,0,0
163,89,0,32
164,89,0,64
165,64,0,132
166,64,0,173
167,64,0,212
168,64,0,250
169,64,0,255
170,64,0,255
171,89,32,0
172,77,18,32
173,77,18,64
174,64,6,121
175,64,0,164
176,64,0,205
177,64,0,244
178,64,0,255
179,64,0,255
180,89,64,0
181,32,26,6
182,26,26,26
183,50,64,109
184,0,24,217
185,0,4,255
186,0,43,255
187,11,64,255
188,5,64,255
189,64,132,0
190,64,121,6
191,50,109,64
192,50,109,96
193,6,96,185
194,0,79,255
195,18,96,237
196,11,96,255
197,5,96,255
198,64,173,0
199,64,164,0
200,0,227,17
201,0,193,96
202,38,153,128
203,27,128,196
204,0,138,255
205,0,121,255
206,5,127,255
207,64,212,0
208,64,205,0
209,27,196,64
210,0,255,75
211,27,196,128
212,27,196,160
213,0,191,255
214,11,160,255
215,5,160,255
216,64,250,0
217,64,244,0
218,18,237,64
219,18,237,96
220,18,237,128
221,18,237,160
222,18,237,192
223,11,192,255
224,5,192,255
225,64,255,0
226,64,255,0
227,11,255,64
228,11,255,96
229,11,255,128
230,11,255,160
231,11,255,192
232,11,255,224
233,5,224,255
234,64,255,0
235,64,255,0
236,5,255,64
237,5,255,96
238,5,255,128
239,5,255,160
240,5,255,192
241,5,255,224
242,5,255,255
243,132,0,0
244,132,0,32
245,132,0,64
246,132,0,96
247,96,0,173
248,96,0,212
249,96,0,250
250,96,0,255
251,96,0,255
252,132,32,0
253,121,6,32
254,121,6,64
255,121,6,96
256,96,0,164
257,96,0,205
258,96,0,244
259,96,0,255
260,96,0,255
261,132,64,0
262,121,64,6
263,56,17,26
264,109,50,96
265,96,38,153
266,79,0,255
267,85,0,255
268,80,0,255
269,96,5,255
270,132,96,0
271,121,96,6
272,56,47,17
273,47,47,47
274,82,96,141
275,6,56,249
276,59,96,228
277,20,75,255
278,43,96,255
279,96,173,0
280,96,164,0
281,96,153,38
282,41,182,72
283,82,141,128
284,38,128,217
285,0,121,255
286,6,112,255
287,43,128,255
288,96,212,0
289,96,205,0
290,96,196,27
291,0,255,49
292,31,225,128
293,70,185,160
294,0,183,255
295,6,167,255
296,43,160,255
297,96,250,0
298,96,244,0
299,96,237,18
300,59,228,96
301,59,228,128
302,59,228,160
303,59,228,192
304,50,192,255
305,43,192,255
306,96,255,0
307,96,255,0
308,96,255,11
309,50,255,96
310,50,255,128
311,50,255,160
312,50,255,192
313,50,255,224
314,43,224,255
315,96,255,0
316,96,255,0
317,96,255,5
318,43,255,96
319,43,255,128
320,43,255,160
321,43,255,192
322,43,255,224
323,43,255,255
324,173,0,0
325,173,0,32
326,173,0,64
327,173,0,96
328,173,0,128
329,128,0,212
330,128,0,250
331,128,0,255
332,128,0,255
333,173,32,0
334,164,0,32
335,164,0,64
336,164,0,96
337,164,0,128
338,128,0,205
339,128,0,244
340,128,0,255
341,128,0,255
342,173,64,0
343,164,64,0
344,153,38,64
345,153,38,96
346,153,38,128
347,128,27,196
348,128,18,237
349,128,11,255
350,128,5,255
351,173,96,0
352,164,96,0
353,153,96,38
354,141,82,96
355,141,82,128
356,128,70,185
357,128,59,228
358,128,50,255
359,128,43,255
360,173,128,0
361,164,128,0
362,153,128,38
363,89,77,34
364,77,77,77
365,79,108,208
366,6,65,255
367,91,128,255
368,82,128,255
369,128,212,0
370,128,205,0
371,128,196,27
372,128,223,32
373,73,214,104
374,61,131,115
375,6,167,255
376,44,160,255
377,82,160,255
378,128,250,0
379,128,244,0
380,128,237,18
381,128,228,59
382,28,255,81
383,102,217,160
384,102,217,192
385,44,204,255
386,82,192,255
387,128,255,0
388,128,255,0
389,128,255,11
390,128,255,50
391,91,255,128
392,91,255,160
393,91,255,192
394,91,255,224
395,82,224,255
396,128,255,0
397,128,255,0
398,128,255,5
399,128,255,43
400,82,255,128
401,82,255,160
402,82,255,192
403,82,255,224
404,82,255,255
