,R,G,B
0,0,0,0
1,0,0,35
2,0,0,73
3,0,0,112
4,0,0,152
5,0,0,193
6,0,0,234
7,0,0,255
8,0,0,255
9,0,35,0
10,0,35,32
11,0,32,73
12,0,32,112
13,0,32,152
14,0,32,193
15,0,32,234
16,0,32,255
17,0,32,255
18,0,73,0
19,0,73,32
20,0,73,64
21,0,64,112
22,0,64,152
23,0,64,193
24,0,64,234
25,0,64,255
26,0,64,255
27,0,112,0
28,0,112,32
29,0,112,64
30,0,112,96
31,0,96,152
32,0,96,193
33,0,96,234
34,0,96,255
35,0,96,255
36,0,152,0
37,0,152,32
38,0,152,64
39,0,152,96
40,0,152,128
41,0,128,193
42,0,128,234
43,0,128,255
44,0,128,255
45,0,193,0
46,0,193,32
47,0,193,64
48,0,193,96
49,0,193,128
50,0,193,160
51,0,160,234
52,0,160,255
53,0,160,255
54,0,234,0
55,0,234,32
56,0,234,64
57,0,234,96
58,0,234,128
59,0,234,160
60,0,234,192
61,0,192,255
62,0,192,255
63,0,255,0
64,0,255,32
65,0,255,64
66,0,255,96
67,0,255,128
68,0,255,160
69,0,255,192
70,0,255,224
71,0,224,255
72,0,255,0
73,0,255,32
74,0,255,64
75,0,255,96
76,0,255,128
77,0,255,160
78,0,255,192
79,0,255,224
80,0,255,255
81,35,0,0
82,35,0,32
83,32,0,73
84,32,0,112
85,32,0,152
86,32,0,193
87,32,0,234
88,32,0,255
89,32,0,255
90,35,32,0
91,32,32,32
92,28,32,67
93,23,32,105
94,16,32,144
95,7,32,184
96,0,32,225
97,0,32,255
98,0,32,255
99,32,73,0
100,28,67,32
101,28,67,64
102,23,64,105
103,16,64,144
104,7,64,184
105,0,64,225
106,0,64,255
107,0,64,255
108,32,112,0
109,23,105,32
110,23,105,64
111,23,105,96
112,16,96,144
113,7,96,184
114,0,96,225
115,0,96,255
116,0,96,255
117,32,152,0
118,16,144,32
119,16,144,64
120,16,144,96
121,16,144,128
122,7,128,184
123,0,128,225
124,0,128,255
125,0,128,255
126,32,193,0
127,7,184,32
128,7,184,64
129,7,184,96
130,7,184,128
131,7,184,160
132,0,160,225
133,0,160,255
134,0,160,255
135,32,234,0
136,0,225,32
137,0,225,64
138,0,225,96
139,0,225,128
140,0,225,160
141,0,225,192
142,0,192,255
143,0,192,255
144,32,255,0
145,0,255,32
146,0,255,64
147,0,255,96
148,0,255,128
149,0,255,160
150,0,255,192
151,0,255,224
152,0,224,255
153,32,255,0
154,0,255,32
155,0,255,64
156,0,255,96
157,0,255,128
158,0,255,160
159,0,255,192
160,0,255,224
161,0,255,255
162,73,0,0
163,73,0,32
164,73,0,64
165,64,0,112
166,64,0,152
167,64,0,193
168,64,0,234
169,64,0,255
170,64,0,255
171,73,32,0
172,67,28,32
173,67,28,64
174,64,23,105
175,64,16,144
176,64,7,184
177,64,0,225
178,64,0,255
179,64,0,255
180,73,64,0
181,27,26,11
182,26,26,26
183,60,64,99
184,0,24,196
185,0,4,255
186,7,43,249
187,31,64,255
188,21,64,255
189,64,112,0
190,64,105,23
191,60,99,64
192,60,99,96
193,27,96,164
194,0,79,252
195,39,96,216
196,31,96,255
197,21,96,255
198,64,152,0
199,64,144,16
200,0,207,17
201,20,172,96
202,55,137,128
203,48,128,176
204,0,138,255
205,0,121,255
206,21,127,255
207,64,193,0
208,64,184,7
209,48,176,64
210,0,255,75
211,48,176,128
212,48,176,160
213,0,191,255
214,31,160,255
215,21,160,255
216,64,234,0
217,64,225,0
218,39,216,64
219,39,216,96
220,39,216,128
221,39,216,160
222,39,216,192
223,31,192,255
224,21,192,255
225,64,255,0
226,64,255,0
227,31,255,64
228,31,255,96
229,31,255,128
230,31,255,160
231,31,255,192
232,31,255,224
233,21,224,255
234,64,255,0
235,64,255,0
236,21,255,64
237,21,255,96
238,21,255,128
239,21,255,160
240,21,255,192
241,21,255,224
242,21,255,255
243,112,0,0
244,112,0,32
245,112,0,64
246,112,0,96
247,96,0,152
248,96,0,193
249,96,0,234
250,96,0,255
251,96,0,255
252,112,32,0
253,105,23,32
254,105,23,64
255,105,23,96
256,96,16,144
257,96,7,184
258,96,0,225
259,96,0,255
260,96,0,255
261,112,64,0
262,105,64,23
263,48,24,26
264,99,60,96
265,96,55,137
266,79,0,255
267,85,7,249
268,80,0,255
269,96,21,255
270,112,96,0
271,105,96,23
272,48,47,24
273,47,47,47
274,92,96,131
275,27,56,228
276,80,96,208
277,39,75,255
278,63,96,255
279,96,152,0
280,96,144,16
281,96,137,55
282,59,163,72
283,92,131,128
284,59,128,196
285,0,121,255
286,23,112,255
287,63,128,255
288,96,193,0
289,96,184,7
290,96,176,48
291,16,239,49
292,52,204,128
293,87,169,160
294,0,183,255
295,23,167,255
296,63,160,255
297,96,234,0
298,96,225,0
299,96,216,39
300,80,208,96
301,80,208,128
302,80,208,160
303,80,208,192
304,71,192,248
305,63,192,255
306,96,255,0
307,96,255,0
308,96,255,31
309,71,248,96
310,71,248,128
311,71,248,160
312,71,248,192
313,71,248,224
314,63,224,255
315,96,255,0
316,96,255,0
317,96,255,21
318,63,255,96
319,63,255,128
320,63,255,160
321,63,255,192
322,63,255,224
323,63,255,255
324,152,0,0
325,152,0,32
326,152,0,64
327,152,0,96
328,152,0,128
329,128,0,193
330,128,0,234
331,128,0,255
332,128,0,255
333,152,32,0
334,144,16,32
335,144,16,64
336,144,16,96
337,144,16,128
338,128,7,184
339,128,0,225
340,128,0,255
341,128,0,255
342,152,64,0
343,144,64,16
344,137,55,64
345,137,55,96
346,137,55,128
347,128,48,176
348,128,39,216
349,128,31,255
350,128,21,255
351,152,96,0
352,144,96,16
353,137,96,55
354,131,92,96
355,131,92,128
356,128,87,169
357,128,80,208
358,128,71,248
359,128,63,255
360,152,128,0
361,144,128,16
362,137,128,55
363,80,77,44
364,77,77,77
365,97,108,190
366,23,65,255
367,112,128,240
368,104,128,255
369,128,193,0
370,128,184,7
371,128,176,48
372,128,202,53
373,91,195,104
374,72,119,115
375,23,167,255
376,64,160,255
377,104,160,255
378,128,234,0
379,128,225,0
380,128,216,39
381,128,208,80
382,48,255,81
383,119,201,160
384,119,201,192
385,64,204,255
386,104,192,255
387,128,255,0
388,128,255,0
389,128,255,31
390,128,248,71
391,112,240,128
392,112,240,160
393,112,240,192
394,112,240,224
395,104,224,255
396,128,255,0
397,128,255,0
398,128,255,21
399,128,255,63
400,104,255,128
401,104,255,160
402,104,255,192
403,104,255,224
404,104,255,255
405,193,0,0
406,193,0,32
407,193,0,64
408,193,0,96
409,193,0,128
410,193,0,160
411,160,0,234
412,160,0,255
413,160,0,255
414,193,32,0
415,184,7,32
416,184,7,64
417,184,7,96
418,184,7,128
419,184,7,160
420,160,0,225
421,160,0,255
422,160,0,255
423,193,64,0
424,234,48,0
425,255,0,8
426,176,48,96
427,255,0,148
428,176,48,160
429,160,39,216
430,160,31,255
431,160,21,255
432,193,96,0
433,184,96,7
434,247,80,0
435,223,32,59
436,251,4,127
437,199,56,181
438,160,80,208
439,160,71,248
440,160,63,255
441,193,128,0
442,184,128,7
443,176,128,48
444,195,127,59
445,119,72,77
446,177,110,170
447,115,64,172
448,160,112,240
449,160,104,255
450,193,160,0
451,184,160,7
452,176,160,48
453,169,160,87
454,119,115,72
455,115,115,115
456,129,140,222
457,105,139,255
458,144,160,255
459,160,234,0
460,160,225,0
461,160,216,39
462,160,208,80
463,160,201,119
464,123,227,136
465,156,195,192
466,105,197,255
467,144,198,255
468,160,255,0
469,160,255,0
470,160,255,31
471,160,248,71
472,160,240,112
473,151,233,160
474,151,233,192
475,151,233,224
476,144,224,255
477,160,255,0
478,160,255,0
479,160,255,21
480,160,255,63
481,160,255,104
482,144,255,160
483,144,255,192
484,144,255,224
485,144,255,255
486,234,0,0
487,234,0,32
488,234,0,64
489,234,0,96
490,234,0,128
491,234,0,160
492,234,0,192
493,192,0,255
494,192,0,255
495,234,32,0
496,225,0,32
497,225,0,64
498,225,0,96
499,255,0,134
500,225,0,160
501,225,0,192
502,192,0,255
503,192,0,255
504,234,64,0
505,225,64,0
506,216,39,64
507,216,39,96
508,255,0,128
509,216,39,160
510,216,39,192
511,192,31,255
512,192,21,255
513,234,96,0
514,225,96,0
515,255,64,0
516,255,0,40
517,255,2,111
518,255,0,180
519,208,80,192
520,192,71,248
521,192,63,255
522,234,128,0
523,225,128,0
524,216,128,39
525,255,112,7
526,255,64,91
527,255,21,159
528,201,119,192
529,192,112,240
530,192,104,255
531,234,160,0
532,225,160,0
533,216,160,39
534,208,160,80
535,227,159,91
536,220,131,141
537,221,130,211
538,191,120,255
539,192,144,255
540,234,192,0
541,225,192,0
542,216,192,39
543,208,192,80
544,201,192,119
545,195,192,156
546,159,159,159
547,145,169,255
548,183,192,255
549,192,255,0
550,192,255,0
551,192,255,31
552,192,248,71
553,192,240,112
554,192,244,139
555,155,255,168
556,147,255,253
557,183,226,255
558,192,255,0
559,192,255,0
560,192,255,21
561,192,255,63
562,192,255,104
563,192,255,144
564,183,255,192
565,183,255,224
566,183,255,255
567,255,0,0
568,255,0,32
569,255,0,64
570,255,0,96
571,255,0,128
572,255,0,160
573,255,0,192
574,255,0,224
575,224,0,255
576,255,32,0
577,255,0,32
578,255,0,64
579,255,0,96
580,255,0,128
581,255,0,170
582,255,0,192
583,255,0,224
584,224,0,255
585,255,64,0
586,255,64,0
587,255,31,64
588,255,31,96
589,255,0,121
590,255,0,166
591,255,31,192
592,255,31,224
593,224,21,255
594,255,96,0
595,255,96,0
596,255,96,31
597,248,71,96
598,250,69,127
599,255,23,160
600,255,23,207
601,248,71,224
602,224,63,255
603,255,128,0
604,255,128,0
605,255,128,31
606,248,128,71
607,240,112,128
608,255,95,156
609,255,64,202
610,255,64,254
611,224,104,255
612,255,160,0
613,255,160,0
614,255,160,31
615,248,160,71
616,255,149,64
617,255,105,129
618,255,104,191
619,255,105,255
620,224,144,255
621,255,192,0
622,255,192,0
623,255,210,0
624,255,207,23
625,255,200,72
626,255,191,123
627,252,163,173
628,255,145,255
629,224,183,255
630,255,224,0
631,255,224,0
632,254,255,0
633,254,255,23
634,254,255,64
635,255,245,120
636,241,234,174
637,207,207,207
638,220,227,255
639,224,255,0
640,224,255,0
641,224,255,21
642,224,255,63
