,R,G,B
0,0,0,0
1,0,0,37
2,0,0,76
3,0,0,115
4,0,0,155
5,0,0,196
6,0,0,237
7,0,0,255
8,0,0,255
9,0,37,0
10,0,37,32
11,0,32,76
12,0,32,115
13,0,32,155
14,0,32,196
15,0,32,237
16,0,32,255
17,0,32,255
18,0,76,0
19,0,76,32
20,0,76,64
21,0,64,115
22,0,64,155
23,0,64,196
24,0,64,237
25,0,64,255
26,0,64,255
27,0,115,0
28,0,115,32
29,0,115,64
30,0,115,96
31,0,96,155
32,0,96,196
33,0,96,237
34,0,96,255
35,0,96,255
36,0,155,0
37,0,155,32
38,0,155,64
39,0,155,96
40,0,155,128
41,0,128,196
42,0,128,237
43,0,128,255
44,0,128,255
45,0,196,0
46,0,196,32
47,0,196,64
48,0,196,96
49,0,196,128
50,0,196,160
51,0,160,237
52,0,160,255
53,0,160,255
54,0,237,0
55,0,237,32
56,0,237,64
57,0,237,96
58,0,237,128
59,0,237,160
60,0,237,192
61,0,192,255
62,0,192,255
63,0,255,0
64,0,255,32
65,0,255,64
66,0,255,96
67,0,255,128
68,0,255,160
69,0,255,192
70,0,255,224
71,0,224,255
72,0,255,0
73,0,255,32
74,0,255,64
75,0,255,96
76,0,255,128
77,0,255,160
78,0,255,192
79,0,255,224
80,0,255,255
81,37,0,0
82,37,0,32
83,32,0,76
84,32,0,115
85,32,0,155
86,32,0,196
87,32,0,237
88,32,0,255
89,32,0,255
90,37,32,0
91,32,32,32
92,26,32,69
93,20,32,108
94,12,32,147
95,4,32,187
96,0,32,228
97,0,32,255
98,0,32,255
99,32,76,0
100,26,69,32
101,26,69,64
102,20,64,108
103,12,64,147
104,4,64,187
105,0,64,228
106,0,64,255
107,0,64,255
108,32,115,0
109,20,108,32
110,20,108,64
111,20,108,96
112,12,96,147
113,4,96,187
114,0,96,228
115,0,96,255
116,0,96,255
117,32,155,0
118,12,147,32
119,12,147,64
120,12,147,96
121,12,147,128
122,4,128,187
123,0,128,228
124,0,128,255
125,0,128,255
126,32,196,0
127,4,187,32
128,4,187,64
129,4,187,96
130,4,187,128
131,4,187,160
132,0,160,228
133,0,160,255
134,0,160,255
135,32,237,0
136,0,228,32
137,0,228,64
138,0,228,96
139,0,228,128
140,0,228,160
141,0,228,192
142,0,192,255
143,0,192,255
144,32,255,0
145,0,255,32
146,0,255,64
147,0,255,96
148,0,255,128
149,0,255,160
150,0,255,192
151,0,255,224
152,0,224,255
153,32,255,0
154,0,255,32
155,0,255,64
156,0,255,96
157,0,255,128
158,0,255,160
159,0,255,192
160,0,255,224
161,0,255,255
162,76,0,0
163,76,0,32
164,76,0,64
165,64,0,115
166,64,0,155
167,64,0,196
168,64,0,237
169,64,0,255
170,64,0,255
171,76,32,0
172,69,26,32
173,69,26,64
174,64,20,108
175,64,12,147
176,64,4,187
177,64,0,228
178,64,0,255
179,64,0,255
180,76,64,0
181,27,26,10
182,26,26,26
183,58,64,101
184,0,24,200
185,0,4,255
186,4,43,252
187,27,64,255
188,19,64,255
189,64,115,0
190,64,108,20
191,58,101,64
192,58,101,96
193,24,96,168
194,0,79,255
195,36,96,219
196,27,96,255
197,19,96,255
198,64,155,0
199,64,147,12
200,0,210,17
201,16,175,96
202,52,140,128
203,44,128,179
204,0,138,255
205,0,121,255
206,19,127,255
207,64,196,0
208,64,187,4
209,44,179,64
210,0,255,75
211,44,179,128
212,44,179,160
213,0,191,255
214,27,160,255
215,19,160,255
216,64,237,0
217,64,228,0
218,36,219,64
219,36,219,96
220,36,219,128
221,36,219,160
222,36,219,192
223,27,192,255
224,19,192,255
225,64,255,0
226,64,255,0
227,27,255,64
228,27,255,96
229,27,255,128
