,R,G,B
0,0,0,0
1,0,0,57
2,0,0,81
3,0,0,101
4,0,0,120
5,0,0,139
6,0,0,161
7,0,0,188
8,0,0,255
9,0,57,0
10,0,57,57
11,0,57,81
12,0,57,101
13,0,57,120
14,0,57,139
15,0,57,161
16,0,57,188
17,0,57,255
18,0,81,0
19,0,81,57
20,0,81,81
21,0,81,101
22,0,81,120
23,0,81,139
24,0,81,161
25,0,81,188
26,0,81,255
27,0,101,0
28,0,101,57
29,0,101,81
30,0,101,101
31,0,101,120
32,0,101,139
33,0,101,161
34,0,101,188
35,0,101,255
36,0,120,0
37,0,120,57
38,0,120,81
39,0,120,101
40,0,120,120
41,0,120,139
42,0,120,161
43,0,120,188
44,0,120,255
45,0,139,0
46,0,139,57
47,0,139,81
48,0,139,101
49,0,139,120
50,0,139,139
51,0,139,161
52,0,139,188
53,0,139,255
54,0,161,0
55,0,161,57
56,0,161,81
57,0,161,101
58,0,161,120
59,0,161,139
60,0,161,161
61,0,161,188
62,0,161,255
63,0,188,0
64,0,188,57
65,0,188,81
66,0,188,101
67,0,188,120
68,0,188,139
69,0,188,161
70,0,188,188
71,0,188,255
72,0,255,0
73,0,255,57
74,0,255,81
75,0,255,101
76,0,255,120
77,0,255,139
78,0,255,161
79,0,255,188
80,0,255,255
81,57,0,0
82,57,0,57
83,57,0,81
84,57,0,101
85,57,0,120
86,57,0,139
87,57,0,161
88,57,0,188
89,57,0,255
90,57,57,0
91,57,57,57
92,57,57,81
93,57,57,101
94,57,57,120
95,57,57,139
96,57,57,161
97,57,57,188
98,57,57,255
99,57,81,0
100,57,81,57
101,57,81,81
102,57,81,101
103,57,81,120
104,57,81,139
105,57,81,161
106,57,81,188
107,57,81,255
108,57,101,0
109,57,101,57
110,57,101,81
111,57,101,101
112,57,101,120
113,57,101,139
114,57,101,161
115,57,101,188
116,57,101,255
117,57,120,0
118,57,120,57
119,57,120,81
120,57,120,101
121,57,120,120
122,57,120,139
123,57,120,161
124,57,120,188
125,57,120,255
126,57,139,0
127,57,139,57
128,57,139,81
129,57,139,101
130,57,139,120
131,57,139,139
132,57,139,161
133,57,139,188
134,57,139,255
135,57,161,0
136,57,161,57
137,57,161,81
138,57,161,101
139,57,161,120
140,57,161,139
141,57,161,161
142,57,161,188
143,57,161,255
144,57,188,0
145,57,188,57
146,57,188,81
147,57,188,101
148,57,188,120
149,57,188,139
150,57,188,161
151,57,188,188
152,57,188,255
153,57,255,0
154,57,255,57
155,57,255,81
156,57,255,101
157,57,255,120
158,57,255,139
159,57,255,161
160,57,255,188
161,57,255,255
162,81,0,0
163,81,0,57
164,81,0,81
165,81,0,101
166,81,0,120
167,81,0,139
168,81,0,161
169,81,0,188
170,81,0,255
171,81,57,0
172,81,57,57
173,81,57,81
174,81,57,101
175,81,57,120
176,81,57,139
177,81,57,161
178,81,57,188
179,81,57,255
180,81,81,0
181,52,52,36
182,52,52,52
183,81,81,101
184,50,50,144
185,22,22,184
186,66,66,177
187,81,81,188
188,81,81,255
189,81,101,0
190,81,101,57
191,81,101,81
192,81,101,101
193,68,101,131
194,39,90,174
195,81,101,161
196,81,101,188
197,81,101,255
198,81,120,0
199,81,120,57
200,43,149,43
201,64,134,101
202,81,120,120
203,81,120,139
204,12,126,255
205,58,116,255
206,81,119,255
207,81,139,0
208,81,139,57
209,81,139,81
210,22,183,88
211,81,139,120
212,81,139,139
213,12,160,255
214,81,139,188
215,81,139,255
216,81,161,0
217,81,161,57
218,81,161,81
219,81,161,101
220,81,161,120
221,81,161,139
222,81,161,161
223,81,161,188
224,81,161,255
225,81,188,0
226,81,188,57
227,81,188,81
228,81,188,101
229,81,188,120
230,81,188,139
231,81,188,161
232,81,188,188
233,81,188,255
234,81,255,0
235,81,255,57
236,81,255,81
237,81,255,101
238,81,255,120
239,81,255,139
240,81,255,161
241,81,255,188
242,81,255,255
243,101,0,0
244,101,0,57
245,101,0,81
246,101,0,101
247,101,0,120
248,101,0,139
249,101,0,161
250,101,0,188
251,101,0,255
252,101,57,0
253,101,57,57
254,101,57,81
255,101,57,101
256,101,57,120
257,101,57,139
258,101,57,161
259,101,57,188
260,101,57,255
261,101,81,0
262,101,81,57
263,69,52,52
264,101,81,101
265,101,81,120
266,90,38,176
267,94,66,177
268,91,62,225
269,101,81,255
270,101,101,0
271,101,101,57
272,69,69,52
273,69,69,69
274,101,101,120
275,75,75,167
276,101,101,161
277,88,88,215
278,101,101,255
279,101,120,0
280,101,120,57
281,101,120,81
282,86,134,86
283,101,120,120
284,89,120,152
285,58,116,255
286,81,110,255
287,101,120,255
288,101,139,0
289,101,139,57
290,101,139,81
291,70,172,70
292,86,155,120
293,101,139,139
294,58,154,255
295,81,144,255
296,101,139,255
297,101,161,0
298,101,161,57
299,101,161,81
300,101,161,101
301,101,161,120
302,101,161,139
303,101,161,161
304,101,161,188
305,101,161,255
306,101,188,0
307,101,188,57
308,101,188,81
309,101,188,101
310,101,188,120
311,101,188,139
312,101,188,161
313,101,188,188
314,101,188,255
315,101,255,0
316,101,255,57
317,101,255,81
318,101,255,101
319,101,255,120
320,101,255,139
321,101,255,161
322,101,255,188
323,101,255,255
324,120,0,0
325,120,0,57
326,120,0,81
327,120,0,101
328,120,0,120
329,120,0,139
330,120,0,161
331,120,0,188
332,120,0,255
333,120,57,0
334,120,57,57
335,120,57,81
336,120,57,101
337,120,57,120
338,120,57,139
339,120,57,161
340,120,57,188
341,120,57,255
342,120,81,0
343,120,81,57
344,120,81,81
345,120,81,101
346,120,81,120
347,120,81,139
348,120,81,161
349,120,81,188
350,120,81,255
351,120,101,0
352,120,101,57
353,120,101,81
354,120,101,101
355,120,101,120
356,120,101,139
357,120,101,161
358,120,101,188
359,120,101,255
360,120,120,0
361,120,120,57
362,120,120,81
363,89,89,69
364,89,89,89
365,108,108,152
366,81,81,255
367,120,120,188
368,120,120,255
369,120,139,0
370,120,139,57
371,120,139,81
372,120,154,87
373,105,154,105
374,89,112,112
375,81,144,255
376,101,139,255
377,120,139,255
378,120,161,0
379,120,161,57
380,120,161,81
381,120,161,101
382,92,205,92
383,120,161,139
384,120,161,161
385,101,170,255
386,120,161,255
387,120,188,0
388,120,188,57
389,120,188,81
390,120,188,101
391,120,188,120
392,120,188,139
393,120,188,161
394,120,188,188
395,120,188,255
396,120,255,0
397,120,255,57
398,120,255,81
399,120,255,101
400,120,255,120
401,120,255,139
402,120,255,161
403,120,255,188
404,120,255,255
405,139,0,0
406,139,0,57
407,139,0,81
408,139,0,101
409,139,0,120
410,139,0,139
411,139,0,161
412,139,0,188
413,139,0,255
414,139,57,0
415,139,57,57
416,139,57,81
417,139,57,101
418,139,57,120
419,139,57,139
420,139,57,161
421,139,57,188
422,139,57,255
423,139,81,0
424,161,70,0
425,179,30,30
426,139,81,101
427,187,0,132
428,139,81,139
429,139,81,161
430,139,81,188
431,139,81,255
432,139,101,0
433,139,101,57
434,171,91,43
435,164,77,77
436,178,64,119
437,153,88,153
438,139,101,161
439,139,101,188
440,139,101,255
441,139,120,0
442,139,120,57
443,139,120,81
444,151,119,89
445,112,89,89
446,146,113,146
447,112,89,139
448,139,120,188
449,139,120,255
450,139,139,0
451,139,139,57
452,139,139,81
453,139,139,101
454,112,112,89
455,112,112,112
456,127,127,176
457,120,126,255
458,139,139,255
459,139,161,0
460,139,161,57
461,139,161,81
462,139,161,101
