,R,G,B
0,0,0,0
1,0,0,43
2,0,0,77
3,0,0,107
4,0,0,136
5,0,0,165
6,0,0,193
7,0,0,223
8,0,0,255
9,0,43,0
10,0,43,43
11,0,43,77
12,0,43,107
13,0,43,136
14,0,43,165
15,0,43,193
16,0,43,223
17,0,43,255
18,0,77,0
19,0,77,43
20,0,77,77
21,0,77,107
22,0,77,136
23,0,77,165
24,0,77,193
25,0,77,223
26,0,77,255
27,0,107,0
28,0,107,43
29,0,107,77
30,0,107,107
31,0,107,136
32,0,107,165
33,0,107,193
34,0,107,223
35,0,107,255
36,0,136,0
37,0,136,43
38,0,136,77
39,0,136,107
40,0,136,136
41,0,136,165
42,0,136,193
43,0,136,223
44,0,136,255
45,0,165,0
46,0,165,43
47,0,165,77
48,0,165,107
49,0,165,136
50,0,165,165
51,0,165,193
52,0,165,223
53,0,165,255
54,0,193,0
55,0,193,43
56,0,193,77
57,0,193,107
58,0,193,136
59,0,193,165
60,0,193,193
61,0,193,223
62,0,193,255
63,0,223,0
64,0,223,43
65,0,223,77
66,0,223,107
67,0,223,136
68,0,223,165
69,0,223,193
70,0,223,223
71,0,223,255
72,0,255,0
73,0,255,43
74,0,255,77
75,0,255,107
76,0,255,136
77,0,255,165
78,0,255,193
79,0,255,223
80,0,255,255
81,43,0,0
82,43,0,43
83,43,0,77
84,43,0,107
85,43,0,136
86,43,0,165
87,43,0,193
88,43,0,223
89,43,0,255
90,43,43,0
91,43,43,43
92,43,43,77
93,43,43,107
94,43,43,136
95,43,43,165
96,43,43,193
97,43,43,223
98,43,43,255
99,43,77,0
100,43,77,43
101,43,77,77
102,43,77,107
103,43,77,136
104,43,77,165
105,43,77,193
106,43,77,223
107,43,77,255
108,43,107,0
109,43,107,43
110,43,107,77
111,43,107,107
112,43,107,136
113,43,107,165
114,43,107,193
115,43,107,223
116,43,107,255
117,43,136,0
118,43,136,43
119,43,136,77
120,43,136,107
121,43,136,136
122,43,136,165
123,43,136,193
124,43,136,223
125,43,136,255
126,43,165,0
127,43,165,43
128,43,165,77
129,43,165,107
130,43,165,136
131,43,165,165
132,43,165,193
133,43,165,223
134,43,165,255
135,43,193,0
136,43,193,43
137,43,193,77
138,43,193,107
139,43,193,136
140,43,193,165
141,43,193,193
142,43,193,223
143,43,193,255
144,43,223,0
145,43,223,43
146,43,223,77
147,43,223,107
148,43,223,136
149,43,223,165
150,43,223,193
151,43,223,223
152,43,223,255
153,43,255,0
154,43,255,43
155,43,255,77
156,43,255,107
157,43,255,136
158,43,255,165
159,43,255,193
160,43,255,223
161,43,255,255
162,77,0,0
163,77,0,43
164,77,0,77
165,77,0,107
166,77,0,136
167,77,0,165
168,77,0,193
169,77,0,223
170,77,0,255
171,77,43,0
172,77,43,43
173,77,43,77
174,77,43,107
175,77,43,136
176,77,43,165
177,77,43,193
178,77,43,223
179,77,43,255
180,77,77,0
181,37,37,19
182,37,37,37
183,77,77,107
184,34,34,172
185,8,8,219
186,55,55,212
187,77,77,223
188,77,77,255
189,77,107,0
190,77,107,43
191,77,107,77
192,77,107,107
193,57,107,153
194,22,91,209
195,77,107,193
196,77,107,223
197,77,107,255
198,77,136,0
199,77,136,43
200,26,178,26
201,52,158,107
202,77,136,136
203,77,136,165
204,2,145,255
205,44,130,255
206,77,135,255
207,77,165,0
208,77,165,43
209,77,165,77
210,8,218,87
211,77,165,136
212,77,165,165
213,2,192,255
214,77,165,223
215,77,165,255
216,77,193,0
217,77,193,43
218,77,193,77
219,77,193,107
220,77,193,136
221,77,193,165
222,77,193,193
223,77,193,223
224,77,193,255
225,77,223,0
226,77,223,43
227,77,223,77
228,77,223,107
229,77,223,136
230,77,223,165
231,77,223,193
232,77,223,223
233,77,223,255
234,77,255,0
235,77,255,43
236,77,255,77
237,77,255,107
238,77,255,136
239,77,255,165
240,77,255,193
241,77,255,223
242,77,255,255
243,107,0,0
244,107,0,43
245,107,0,77
246,107,0,107
247,107,0,136
248,107,0,165
249,107,0,193
250,107,0,223
251,107,0,255
252,107,43,0
253,107,43,43
254,107,43,77
255,107,43,107
256,107,43,136
257,107,43,165
258,107,43,193
259,107,43,223
260,107,43,255
261,107,77,0
262,107,77,43
263,59,37,37
264,107,77,107
265,107,77,136
266,91,21,211
267,97,55,212
268,92,50,248
269,107,77,255
270,107,107,0
271,107,107,43
272,59,59,37
273,59,59,59
274,107,107,136
275,69,69,201
276,107,107,193
277,87,87,243
278,107,107,255
279,107,136,0
280,107,136,43
281,107,136,77
282,84,157,84
283,107,136,136
284,89,136,182
285,44,130,255
286,78,122,255
287,107,136,255
288,107,165,0
289,107,165,43
290,107,165,77
291,62,207,62
292,84,186,136
293,107,165,165
294,44,185,255
295,78,171,255
296,107,165,255
297,107,193,0
298,107,193,43
299,107,193,77
300,107,193,107
301,107,193,136
302,107,193,165
303,107,193,193
304,107,193,223
305,107,193,255
306,107,223,0
307,107,223,43
308,107,223,77
309,107,223,107
310,107,223,136
311,107,223,165
312,107,223,193
313,107,223,223
314,107,223,255
315,107,255,0
316,107,255,43
317,107,255,77
318,107,255,107
319,107,255,136
320,107,255,165
321,107,255,193
322,107,255,223
323,107,255,255
324,136,0,0
325,136,0,43
326,136,0,77
327,136,0,107
328,136,0,136
329,136,0,165
330,136,0,193
331,136,0,223
332,136,0,255
333,136,43,0
334,136,43,43
335,136,43,77
336,136,43,107
337,136,43,136
338,136,43,165
339,136,43,193
340,136,43,223
341,136,43,255
342,136,77,0
343,136,77,43
344,136,77,77
345,136,77,107
346,136,77,136
347,136,77,165
348,136,77,193
349,136,77,223
350,136,77,255
351,136,107,0
352,136,107,43
353,136,107,77
354,136,107,107
355,136,107,136
356,136,107,165
357,136,107,193
358,136,107,223
359,136,107,255
360,136,136,0
361,136,136,43
362,136,136,77
363,89,89,59
364,89,89,89
365,118,118,183
366,78,78,255
367,136,136,223
368,136,136,255
369,136,165,0
370,136,165,43
371,136,165,77
372,136,185,85
373,115,185,115
374,89,125,125
375,78,171,255
376,108,165,255
377,136,165,255
378,136,193,0
379,136,193,43
380,136,193,77
381,136,193,107
382,93,237,93
383,136,193,165
384,136,193,193
385,108,204,255
386,136,193,255
387,136,223,0
388,136,223,43
389,136,223,77
390,136,223,107
391,136,223,136
392,136,223,165
393,136,223,193
394,136,223,223
395,136,223,255
396,136,255,0
397,136,255,43
398,136,255,77
399,136,255,107
400,136,255,136
401,136,255,165
402,136,255,193
403,136,255,223
404,136,255,255
405,165,0,0
406,165,0,43
407,165,0,77
408,165,0,107
409,165,0,136
410,165,0,165
411,165,0,193
412,165,0,223
413,165,0,255
414,165,43,0
415,165,43,43
416,165,43,77
417,165,43,107
418,165,43,136
419,165,43,165
420,165,43,193
421,165,43,223
422,165,43,255
423,165,77,0
424,193,60,0
425,214,14,14
426,165,77,107
427,222,0,154
428,165,77,165
429,165,77,193
430,165,77,223
431,165,77,255
432,165,107,0
433,165,107,43
434,206,92,26
435,198,72,72
436,213,53,135
437,184,87,184
438,165,107,193
439,165,107,223
440,165,107,255
441,165,136,0
442,165,136,43
443,165,136,77
444,181,135,89
445,125,89,89
446,174,126,174
447,125,89,164
448,165,136,223
449,165,136,255
450,165,165,0
451,165,165,43
452,165,165,77
453,165,165,107
454,125,125,89
455,125,125,125
456,147,147,211
457,137,146,255
458,165,165,255
459,165,193,0
460,165,193,43
461,165,193,77
462,165,193,107
463,165,193,136
464,144,214,144
465,165,193,193
466,137,198,255
467,165,199,255
468,165,223,0
469,165,223,43
470,165,223,77
471,165,223,107
472,165,223,136
473,165,223,165
474,165,223,193
475,165,223,223
476,165,223,255
477,165,255,0
478,165,255,43
479,165,255,77
480,165,255,107
481,165,255,136
482,165,255,165
483,165,255,193
484,165,255,223
485,165,255,255
486,193,0,0
487,193,0,43
488,193,0,77
489,193,0,107
490,193,0,136
491,193,0,165
492,193,0,193
493,193,0,223
494,193,0,255
495,193,43,0
496,193,43,43
497,193,43,77
498,193,43,107
499,223,0,142
500,193,43,165
501,193,43,193
502,193,43,223
503,193,43,255
504,193,77,0
505,193,77,43
506,193,77,77
507,193,77,107
508,230,34,136
509,193,77,165
510,193,77,193
511,193,77,223
512,193,77,255
513,193,107,0
514,193,107,43
515,255,77,2
516,245,52,52
517,239,58,121
518,255,43,183
519,193,107,193
520,193,107,223
521,193,107,255
522,193,136,0
523,193,136,43
524,193,136,77
525,236,122,62
526,227,102,102
527,255,77,164
528,193,136,193
529,193,136,223
530,193,136,255
531,193,165,0
532,193,165,43
533,193,165,77
534,193,165,107
535,210,164,119
536,210,148,148
537,211,148,211
538,192,146,242
539,193,165,255
540,193,193,0
541,193,193,43
542,193,193,77
543,193,193,107
544,193,193,136
545,193,193,165
546,164,164,164
547,166,173,255
548,193,193,255
549,193,223,0
550,193,223,43
551,193,223,77
552,193,223,107
553,193,223,136
554,193,230,158
555,172,245,172
556,167,252,252
557,193,224,255
558,193,255,0
559,193,255,43
560,193,255,77
561,193,255,107
562,193,255,136
563,193,255,165
564,193,255,193
565,193,255,223
566,193,255,255
567,223,0,0
568,223,0,43
569,223,0,77
570,223,0,107
571,223,0,136
572,223,0,165
573,223,0,193
574,223,0,223
575,223,0,255
576,223,43,0
577,223,43,43
578,223,43,77
579,223,43,107
580,255,2,136
581,255,2,174
582,223,43,193
583,223,43,223
584,223,43,255
585,223,77,0
586,223,77,43
587,223,77,77
588,223,77,107
589,255,44,130
590,255,44,170
591,223,77,193
592,223,77,223
593,223,77,255
594,223,107,0
595,223,107,43
596,223,107,77
597,223,107,107
598,223,105,135
599,255,78,165
600,255,78,207
601,223,107,223
602,223,107,255
603,223,136,0
604,223,136,43
605,223,136,77
606,223,136,107
607,223,136,136
608,233,126,161
609,255,108,202
610,255,108,253
611,223,136,255
612,223,165,0
613,223,165,43
614,223,165,77
615,223,165,107
