,R,G,B
0,0,0,0
1,0,0,32
2,0,0,64
3,0,0,96
4,0,0,128
5,0,0,160
6,0,0,192
7,0,0,224
8,0,0,255
9,0,32,0
10,0,32,32
11,0,32,64
12,0,32,96
13,0,32,128
14,0,32,160
15,0,32,192
16,0,32,224
17,0,32,255
18,0,64,0
19,0,64,32
20,0,64,64
21,0,64,96
22,0,64,128
23,0,64,160
24,0,64,192
25,0,64,224
26,0,64,255
27,0,96,0
28,0,96,32
29,0,96,64
30,0,96,96
31,0,96,128
32,0,96,160
33,0,96,192
34,0,96,224
35,0,96,255
36,0,128,0
37,0,128,32
38,0,128,64
39,0,128,96
40,0,128,128
41,0,128,160
42,0,128,192
43,0,128,224
44,0,128,255
45,0,160,0
46,0,160,32
47,0,160,64
48,0,160,96
49,0,160,128
50,0,160,160
51,0,160,192
52,0,160,224
53,0,160,255
54,0,192,0
55,0,192,32
56,0,192,64
57,0,192,96
58,0,192,128
59,0,192,160
60,0,192,192
61,0,192,224
62,0,192,255
63,0,224,0
64,0,224,32
65,0,224,64
66,0,224,96
67,0,224,128
68,0,224,160
69,0,224,192
70,0,224,224
71,0,224,255
72,0,255,0
73,0,255,32
74,0,255,64
75,0,255,96
76,0,255,128
77,0,255,160
78,0,255,192
79,0,255,224
80,0,255,255
81,32,0,0
82,32,0,32
83,32,0,64
84,32,0,96
85,32,0,128
86,32,0,160
87,32,0,192
88,32,0,224
89,32,0,255
90,32,32,0
91,32,32,32
92,32,32,64
93,32,32,96
94,32,32,128
95,32,32,160
96,32,32,192
97,32,32,224
98,32,32,255
99,32,64,0
100,32,64,32
101,32,64,64
102,32,64,96
103,32,64,128
104,32,64,160
105,32,64,192
106,32,64,224
107,32,64,255
108,32,96,0
109,32,96,32
110,32,96,64
111,32,96,96
112,32,96,128
113,32,96,160
114,32,96,192
115,32,96,224
116,32,96,255
117,32,128,0
118,32,128,32
119,32,128,64
120,32,128,96
121,32,128,128
122,32,128,160
123,32,128,192
124,32,128,224
125,32,128,255
126,32,160,0
127,32,160,32
128,32,160,64
129,32,160,96
130,32,160,128
131,32,160,160
132,32,160,192
133,32,160,224
134,32,160,255
135,32,192,0
136,32,192,32
137,32,192,64
138,32,192,96
139,32,192,128
140,32,192,160
141,32,192,192
142,32,192,224
143,32,192,255
144,32,224,0
145,32,224,32
146,32,224,64
147,32,224,96
148,32,224,128
149,32,224,160
150,32,224,192
151,32,224,224
152,32,224,255
153,32,255,0
154,32,255,32
155,32,255,64
156,32,255,96
157,32,255,128
158,32,255,160
159,32,255,192
160,32,255,224
161,32,255,255
162,64,0,0
163,64,0,32
164,64,0,64
165,64,0,96
166,64,0,128
167,64,0,160
168,64,0,192
169,64,0,224
170,64,0,255
171,64,32,0
172,64,32,32
173,64,32,64
174,64,32,96
175,64,32,128
176,64,32,160
177,64,32,192
178,64,32,224
179,64,32,255
180,64,64,0
181,26,26,12
182,26,26,26
183,64,64,96
184,24,24,168
185,4,4,220
186,43,43,213
187,64,64,224
188,64,64,255
189,64,96,0
190,64,96,32
191,64,96,64
192,64,96,96
193,45,96,147
194,14,79,209
195,64,96,192
196,64,96,224
197,64,96,255
198,64,128,0
199,64,128,32
200,17,175,17
201,40,152,96
202,64,128,128
203,64,128,160
204,1,138,255
205,33,121,255
206,64,127,255
207,64,160,0
208,64,160,32
209,64,160,64
210,4,219,75
211,64,160,128
212,64,160,160
213,1,191,255
214,64,160,224
215,64,160,255
216,64,192,0
217,64,192,32
218,64,192,64
219,64,192,96
220,64,192,128
221,64,192,160
222,64,192,192
223,64,192,224
224,64,192,255
225,64,224,0
226,64,224,32
227,64,224,64
228,64,224,96
229,64,224,128
230,64,224,160
231,64,224,192
232,64,224,224
233,64,224,255
