,R,G,B
0,0,0,0
1,0,0,33
2,0,0,69
3,0,0,106
4,0,0,146
5,0,0,187
6,0,0,230
7,0,0,255
8,0,0,255
9,0,33,0
10,0,33,32
11,0,32,69
12,0,32,106
13,0,32,146
14,0,32,187
15,0,32,230
16,0,32,255
17,0,32,255
18,0,69,0
19,0,69,32
20,0,69,64
21,0,64,106
22,0,64,146
23,0,64,187
24,0,64,230
25,0,64,255
26,0,64,255
27,0,106,0
28,0,106,32
29,0,106,64
30,0,106,96
31,0,96,146
32,0,96,187
33,0,96,230
34,0,96,255
35,0,96,255
36,0,146,0
37,0,146,32
38,0,146,64
39,0,146,96
40,0,146,128
41,0,128,187
42,0,128,230
43,0,128,255
44,0,128,255
45,0,187,0
46,0,187,32
47,0,187,64
48,0,187,96
49,0,187,128
50,0,187,160
51,0,160,230
52,0,160,255
53,0,160,255
54,0,230,0
55,0,230,32
56,0,230,64
57,0,230,96
58,0,230,128
59,0,230,160
60,0,230,192
61,0,192,255
62,0,192,255
63,0,255,0
64,0,255,32
65,0,255,64
66,0,255,96
67,0,255,128
68,0,255,160
69,0,255,192
70,0,255,224
71,0,224,255
72,0,255,0
73,0,255,32
74,0,255,64
75,0,255,96
76,0,255,128
77,0,255,160
78,0,255,192
79,0,255,224
80,0,255,255
81,33,0,0
82,33,0,32
83,32,0,69
84,32,0,106
85,32,0,146
86,32,0,187
87,32,0,230
88,32,0,255
89,32,0,255
90,33,32,0
91,32,32,32
92,30,32,65
93,26,32,101
94,21,32,138
95,13,32,178
96,4,32,219
97,0,32,255
98,0,32,255
99,32,69,0
100,30,65,32
101,30,65,64
102,26,64,101
103,21,64,138
104,13,64,178
105,4,64,219
106,0,64,255
107,0,64,255
108,32,106,0
109,26,101,32
110,26,101,64
111,26,101,96
112,21,96,138
113,13,96,178
114,4,96,219
115,0,96,255
116,0,96,255
117,32,146,0
118,21,138,32
119,21,138,64
120,21,138,96
121,21,138,128
122,13,128,178
123,4,128,219
124,0,128,255
125,0,128,255
126,32,187,0
127,13,178,32
128,13,178,64
129,13,178,96
130,13,178,128
131,13,178,160
132,4,160,219
133,0,160,255
134,0,160,255
135,32,230,0
136,4,219,32
137,4,219,64
138,4,219,96
139,4,219,128
140,4,219,160
141,4,219,192
142,0,192,255
143,0,192,255
144,32,255,0
145,0,255,32
146,0,255,64
147,0,255,96
148,0,255,128
149,0,255,160
150,0,255,192
151,0,255,224
152,0,224,255
153,32,255,0
154,0,255,32
155,0,255,64
156,0,255,96
157,0,255,128
158,0,255,160
159,0,255,192
160,0,255,224
161,0,255,255
162,69,0,0
163,69,0,32
164,69,0,64
165,64,0,106
166,64,0,146
167,64,0,187
168,64,0,230
169,64,0,255
170,64,0,255
171,69,32,0
172,65,30,32
173,65,30,64
174,64,26,101
175,64,21,138
176,64,13,178
177,64,4,219
178,64,0,255
179,64,0,255
180,69,64,0
181,26,26,11
182,26,26,26
183,62,64,97
184,1,24,190
185,0,4,255
186,12,43,243
187,36,64,251
188,26,64,255
189,64,106,0
190,64,101,26
191,62,97,64
192,62,97,96
193,32,96,159
194,0,79,248
195,45,96,210
196,36,96,251
197,26,96,255
198,64,146,0
199,64,138,21
200,0,201,17
201,25,166,96
202,58,133,128
203,53,128,170
204,0,138,255
205,0,121,255
206,26,127,255
207,64,187,0
208,64,178,13
209,53,170,64
210,0,255,75
