,R,G,B
0,0,0,0
1,0,0,52
2,0,0,81
3,0,0,107
4,0,0,131
5,0,0,156
6,0,0,181
7,0,0,210
8,0,0,255
9,0,52,0
10,0,52,52
11,0,52,81
12,0,52,107
13,0,52,131
14,0,52,156
15,0,52,181
16,0,52,210
17,0,52,255
18,0,81,0
19,0,81,52
20,0,81,81
21,0,81,107
22,0,81,131
23,0,81,156
24,0,81,181
25,0,81,210
26,0,81,255
27,0,107,0
28,0,107,52
29,0,107,81
30,0,107,107
31,0,107,131
32,0,107,156
33,0,107,181
34,0,107,210
35,0,107,255
36,0,131,0
37,0,131,52
38,0,131,81
39,0,131,107
40,0,131,131
41,0,131,156
42,0,131,181
43,0,131,210
44,0,131,255
45,0,156,0
46,0,156,52
47,0,156,81
48,0,156,107
49,0,156,131
50,0,156,156
51,0,156,181
52,0,156,210
53,0,156,255
54,0,181,0
55,0,181,52
56,0,181,81
57,0,181,107
58,0,181,131
59,0,181,156
60,0,181,181
61,0,181,210
62,0,181,255
63,0,210,0
64,0,210,52
65,0,210,81
66,0,210,107
67,0,210,131
68,0,210,156
69,0,210,181
70,0,210,210
71,0,210,255
72,0,255,0
73,0,255,52
74,0,255,81
75,0,255,107
76,0,255,131
77,0,255,156
78,0,255,181
79,0,255,210
80,0,255,255
81,52,0,0
82,52,0,52
83,52,0,81
84,52,0,107
85,52,0,131
86,52,0,156
87,52,0,181
88,52,0,210
89,52,0,255
90,52,52,0
91,52,52,52
92,52,52,81
93,52,52,107
94,52,52,131
95,52,52,156
96,52,52,181
97,52,52,210
98,52,52,255
99,52,81,0
100,52,81,52
101,52,81,81
102,52,81,107
103,52,81,131
104,52,81,156
105,52,81,181
106,52,81,210
107,52,81,255
108,52,107,0
109,52,107,52
110,52,107,81
111,52,107,107
112,52,107,131
113,52,107,156
114,52,107,181
115,52,107,210
116,52,107,255
117,52,131,0
118,52,131,52
119,52,131,81
120,52,131,107
121,52,131,131
122,52,131,156
123,52,131,181
124,52,131,210
125,52,131,255
126,52,156,0
127,52,156,52
128,52,156,81
129,52,156,107
130,52,156,131
131,52,156,156
132,52,156,181
133,52,156,210
134,52,156,255
135,52,181,0
136,52,181,52
137,52,181,81
138,52,181,107
139,52,181,131
140,52,181,156
141,52,181,181
142,52,181,210
143,52,181,255
144,52,210,0
145,52,210,52
146,52,210,81
147,52,210,107
148,52,210,131
149,52,210,156
150,52,210,181
151,52,210,210
152,52,210,255
153,52,255,0
154,52,255,52
155,52,255,81
156,52,255,107
157,52,255,131
158,52,255,156
159,52,255,181
160,52,255,210
161,52,255,255
162,81,0,0
163,81,0,52
164,81,0,81
165,81,0,107
166,81,0,131
167,81,0,156
168,81,0,181
169,81,0,210
170,81,0,255
171,81,52,0
172,81,52,52
173,81,52,81
174,81,52,107
175,81,52,131
176,81,52,156
177,81,52,181
178,81,52,210
179,81,52,255
180,81,81,0
181,45,45,28
182,45,45,45
183,81,81,107
184,43,43,162
185,14,14,206
186,62,62,199
187,81,81,210
188,81,81,255
189,81,107,0
190,81,107,52
191,81,107,81
192,81,107,107
193,64,107,146
194,30,93,196
195,81,107,181
196,81,107,210
197,81,107,255
198,81,131,0
199,81,131,52
200,34,167,34
201,59,150,107
202,81,131,131
203,81,131,156
204,6,139,255
205,53,126,255
206,81,131,255
207,81,156,0
208,81,156,52
209,81,156,81
210,14,205,90
211,81,156,131
212,81,156,156
213,6,180,255
214,81,156,210
215,81,156,255
216,81,181,0
217,81,181,52
218,81,181,81
219,81,181,107
220,81,181,131
221,81,181,156
222,81,181,181
223,81,181,210
224,81,181,255
225,81,210,0
226,81,210,52
227,81,210,81
228,81,210,107
229,81,210,131
230,81,210,156
231,81,210,181
232,81,210,210
233,81,210,255
234,81,255,0
235,81,255,52
236,81,255,81
237,81,255,107
238,81,255,131
239,81,255,156
240,81,255,181
241,81,255,210
242,81,255,255
243,107,0,0
244,107,0,52
245,107,0,81
246,107,0,107
247,107,0,131
248,107,0,156
249,107,0,181
250,107,0,210
251,107,0,255
252,107,52,0
253,107,52,52
254,107,52,81
255,107,52,107
256,107,52,131
257,107,52,156
258,107,52,181
259,107,52,210
260,107,52,255
261,107,81,0
262,107,81,52
263,66,45,45
264,107,81,107
265,107,81,131
266,93,29,198
267,98,62,199
268,94,58,242
269,107,81,255
270,107,107,0
271,107,107,52
272,66,66,45
273,66,66,66
274,107,107,131
275,74,74,188
276,107,107,181
277,90,90,234
278,107,107,255
279,107,131,0
280,107,131,52
281,107,131,81
282,88,149,88
283,107,131,131
284,92,131,171
285,53,126,255
286,82,119,255
287,107,131,255
288,107,156,0
289,107,156,52
290,107,156,81
291,68,194,68
292,88,175,131
293,107,156,156
294,53,174,255
295,82,161,255
296,107,156,255
297,107,181,0
298,107,181,52
299,107,181,81
300,107,181,107
301,107,181,131
302,107,181,156
303,107,181,181
304,107,181,210
305,107,181,255
306,107,210,0
307,107,210,52
308,107,210,81
309,107,210,107
310,107,210,131
311,107,210,156
312,107,210,181
313,107,210,210
314,107,210,255
315,107,255,0
316,107,255,52
317,107,255,81
318,107,255,107
319,107,255,131
320,107,255,156
321,107,255,181
322,107,255,210
323,107,255,255
324,131,0,0
325,131,0,52
326,131,0,81
327,131,0,107
328,131,0,131
329,131,0,156
330,131,0,181
331,131,0,210
332,131,0,255
333,131,52,0
334,131,52,52
335,131,52,81
336,131,52,107
337,131,52,131
338,131,52,156
339,131,52,181
340,131,52,210
341,131,52,255
342,131,81,0
343,131,81,52
344,131,81,81
345,131,81,107
346,131,81,131
347,131,81,156
348,131,81,181
349,131,81,210
350,131,81,255
351,131,107,0
352,131,107,52
353,131,107,81
354,131,107,107
355,131,107,131
356,131,107,156
357,131,107,181
358,131,107,210
359,131,107,255
360,131,131,0
361,131,131,52
362,131,131,81
363,92,92,66
364,92,92,92
365,116,116,171
366,82,82,255
367,131,131,210
368,131,131,255
369,131,156,0
370,131,156,52
371,131,156,81
372,131,174,89
373,113,174,113
374,92,121,121
375,82,161,255
376,108,156,255
377,131,156,255
378,131,181,0
379,131,181,52
380,131,181,81
381,131,181,107
382,95,226,95
383,131,181,156
