,R,G,B
0,0,0,0
1,0,0,21
2,0,0,55
3,0,0,94
4,0,0,134
5,0,0,174
6,0,0,210
7,0,0,239
8,0,0,255
9,0,21,0
10,0,21,21
11,0,21,55
12,0,21,94
13,0,21,134
14,0,21,174
15,0,21,210
16,0,21,239
17,0,21,255
18,0,55,0
19,0,55,21
20,0,55,55
21,0,55,94
22,0,55,134
23,0,55,174
24,0,55,210
25,0,55,239
26,0,55,255
27,0,94,0
28,0,94,21
29,0,94,55
30,0,94,94
31,0,94,134
32,0,94,174
33,0,94,210
34,0,94,239
35,0,94,255
36,0,134,0
37,0,134,21
38,0,134,55
39,0,134,94
40,0,134,134
41,0,134,174
42,0,134,210
43,0,134,239
44,0,134,255
45,0,174,0
46,0,174,21
47,0,174,55
48,0,174,94
49,0,174,134
50,0,174,174
51,0,174,210
52,0,174,239
53,0,174,255
54,0,210,0
55,0,210,21
56,0,210,55
57,0,210,94
58,0,210,134
59,0,210,174
60,0,210,210
61,0,210,239
62,0,210,255
63,0,239,0
64,0,239,21
65,0,239,55
66,0,239,94
67,0,239,134
68,0,239,174
69,0,239,210
70,0,239,239
71,0,239,255
72,0,255,0
73,0,255,21
74,0,255,55
75,0,255,94
76,0,255,134
77,0,255,174
78,0,255,210
79,0,255,239
80,0,255,255
81,21,0,0
82,21,0,21
83,21,0,55
84,21,0,94
85,21,0,134
86,21,0,174
87,21,0,210
88,21,0,239
89,21,0,255
90,21,21,0
91,21,21,21
92,21,21,55
93,21,21,94
94,21,21,134
95,21,21,174
96,21,21,210
97,21,21,239
98,21,21,255
99,21,55,0
100,21,55,21
101,21,55,55
102,21,55,94
103,21,55,134
104,21,55,174
105,21,55,210
106,21,55,239
107,21,55,255
108,21,94,0
109,21,94,21
110,21,94,55
111,21,94,94
112,21,94,134
113,21,94,174
114,21,94,210
115,21,94,239
116,21,94,255
117,21,134,0
118,21,134,21
119,21,134,55
120,21,134,94
121,21,134,134
122,21,134,174
123,21,134,210
124,21,134,239
125,21,134,255
126,21,174,0
127,21,174,21
128,21,174,55
129,21,174,94
130,21,174,134
131,21,174,174
132,21,174,210
133,21,174,239
134,21,174,255
135,21,210,0
136,21,210,21
137,21,210,55
138,21,210,94
139,21,210,134
140,21,210,174
141,21,210,210
142,21,210,239
143,21,210,255
144,21,239,0
145,21,239,21
146,21,239,55
147,21,239,94
148,21,239,134
149,21,239,174
150,21,239,210
151,21,239,239
152,21,239,255
153,21,255,0
154,21,255,21
155,21,255,55
156,21,255,94
157,21,255,134
158,21,255,174
159,21,255,210
160,21,255,239
161,21,255,255
162,55,0,0
163,55,0,21
164,55,0,55
165,55,0,94
166,55,0,134
167,55,0,174
168,55,0,210
169,55,0,239
170,55,0,255
171,55,21,0
172,55,21,21
173,55,21,55
174,55,21,94
175,55,21,134
176,55,21,174
177,55,21,210
178,55,21,239
179,55,21,255
180,55,55,0
181,16,16,5
182,16,16,16
183,55,55,94
184,14,14,183
185,1,1,236
186,32,32,230
187,55,55,239
188,55,55,255
189,55,94,0
190,55,94,21
191,55,94,55
192,55,94,94
193,34,94,158
194,6,73,227
195,55,94,210
196,55,94,239
197,55,94,255
198,55,134,0
199,55,134,21
200,8,192,8
201,29,164,94
202,55,134,134
203,55,134,174
204,0,147,255
205,22,125,255
206,55,133,255
207,55,174,0
208,55,174,21
209,55,174,55
210,1,235,68
211,55,174,134
212,55,174,174
213,0,209,255
214,55,174,239
215,55,174,255
216,55,210,0
217,55,210,21
218,55,210,55
219,55,210,94
220,55,210,134
221,55,210,174
222,55,210,210
223,55,210,239
224,55,210,255
225,55,239,0
226,55,239,21
227,55,239,55
228,55,239,94
229,55,239,134
230,55,239,174
231,55,239,210
232,55,239,239
233,55,239,255
234,55,255,0
235,55,255,21
236,55,255,55
237,55,255,94
238,55,255,134
239,55,255,174
240,55,255,210
241,55,255,239
242,55,255,255
243,94,0,0
244,94,0,21
245,94,0,55
246,94,0,94
247,94,0,134
248,94,0,174
249,94,0,210
250,94,0,239
251,94,0,255
252,94,21,0
253,94,21,21
254,94,21,55
255,94,21,94
256,94,21,134
257,94,21,174
258,94,21,210
259,94,21,239
260,94,21,255
261,94,55,0
262,94,55,21
263,36,16,16
264,94,55,94
265,94,55,134
266,73,6,229
267,80,32,230
268,74,27,254
269,94,55,255
270,94,94,0
271,94,94,21
272,36,36,16
273,36,36,36
274,94,94,134
275,46,46,218
276,94,94,210
277,68,68,252
278,94,94,255
279,94,134,0
280,94,134,21
281,94,134,55
282,64,163,64
283,94,134,134
284,70,134,196
285,22,125,255
286,56,114,255
287,94,134,255
288,94,174,0
289,94,174,21
290,94,174,55
291,38,225,38
292,64,202,134
293,94,174,174
294,22,201,255
295,56,182,255
296,94,174,255
297,94,210,0
298,94,210,21
299,94,210,55
300,94,210,94
301,94,210,134
302,94,210,174
303,94,210,210
304,94,210,239
305,94,210,255
306,94,239,0
307,94,239,21
308,94,239,55
309,94,239,94
310,94,239,134
311,94,239,174
312,94,239,210
313,94,239,239
314,94,239,255
315,94,255,0
316,94,255,21
317,94,255,55
318,94,255,94
319,94,255,134
320,94,255,174
321,94,255,210
322,94,255,239
323,94,255,255
324,134,0,0
325,134,0,21
326,134,0,55
327,134,0,94
328,134,0,134
329,134,0,174
330,134,0,210
331,134,0,239
332,134,0,255
333,134,21,0
334,134,21,21
335,134,21,55
336,134,21,94
337,134,21,134
338,134,21,174
339,134,21,210
340,134,21,239
341,134,21,255
342,134,55,0
343,134,55,21
344,134,55,55
345,134,55,94
346,134,55,134
347,134,55,174
348,134,55,210
349,134,55,239
350,134,55,255
351,134,94,0
352,134,94,21
353,134,94,55
354,134,94,94
355,134,94,134
356,134,94,174
357,134,94,210
358,134,94,239
359,134,94,255
360,134,134,0
361,134,134,21
362,134,134,55
363,70,70,36
364,70,70,70
365,109,109,197
366,56,56,255
367,134,134,239
368,134,134,255
369,134,174,0
370,134,174,21
371,134,174,55
372,134,201,65
373,104,201,104
374,70,118,118
375,56,182,255
376,95,174,255
377,134,174,255
378,134,210,0
379,134,210,21
380,134,210,55
381,134,210,94
382,75,249,75
383,134,210,174
384,134,210,210
385,95,222,255
386,134,210,255
387,134,239,0
388,134,239,21
389,134,239,55
390,134,239,94
391,134,239,134
392,134,239,174
393,134,239,210
394,134,239,239
395,134,239,255
396,134,255,0
397,134,255,21
398,134,255,55
399,134,255,94
400,134,255,134
401,134,255,174
402,134,255,210
403,134,255,239
404,134,255,255
405,174,0,0
406,174,0,21
407,174,0,55
408,174,0,94
409,174,0,134
410,174,0,174
411,174,0,210
412,174,0,239
413,174,0,255
414,174,21,0
415,174,21,21
416,174,21,55
417,174,21,94
418,174,21,134
419,174,21,174
420,174,21,210
421,174,21,239
422,174,21,255
423,174,55,0
424,210,37,0
425,232,3,3
426,174,55,94
427,238,0,159
428,174,55,174
429,174,55,210
430,174,55,239
431,174,55,255
432,174,94,0
433,174,94,21
434,224,74,8
435,215,49,49
436,231,30,133
437,198,68,198
438,174,94,210
439,174,94,239
440,174,94,255
441,174,134,0
442,174,134,21
443,174,134,55
444,195,133,70
445,118,70,70
446,186,120,186
447,118,70,173
448,174,134,239
449,174,134,255
450,174,174,0
451,174,174,21
452,174,174,55
453,174,174,94
454,118,118,70
455,118,118,118
456,149,149,229
457,136,148,255
458,174,174,255
459,174,210,0
460,174,210,21
461,174,210,55
462,174,210,94
463,174,210,134
464,144,232,144
465,174,210,210
466,136,215,255
467,174,216,255
468,174,239,0
469,174,239,21
470,174,239,55
471,174,239,94
472,174,239,134
473,174,239,174
474,174,239,210
475,174,239,239
476,174,239,255
477,174,255,0
478,174,255,21
479,174,255,55
480,174,255,94
481,174,255,134
482,174,255,174
483,174,255,210
484,174,255,239
485,174,255,255
486,210,0,0
487,210,0,21
488,210,0,55
489,210,0,94
490,210,0,134
491,210,0,174
492,210,0,210
493,210,0,239
494,210,0,255
495,210,21,0
496,210,21,21
497,210,21,55
498,210,21,94
499,239,0,142
500,210,21,174
501,210,21,210
502,210,21,239
503,210,21,255
504,210,55,0
505,210,55,21
506,210,55,55
507,210,55,94
508,245,14,134
509,210,55,174
