,R,G,B
0,0,0,0
1,0,0,35
2,0,0,70
3,0,0,106
4,0,0,143
5,0,0,180
6,0,0,219
7,0,0,255
8,0,0,255
9,0,35,0
10,0,35,32
11,0,32,70
12,0,32,106
13,0,32,143
14,0,32,180
15,0,32,219
16,0,32,255
17,0,32,255
18,0,70,0
19,0,70,32
20,0,70,64
21,0,64,106
22,0,64,143
23,0,64,180
24,0,64,219
25,0,64,255
26,0,64,255
27,0,106,0
28,0,106,32
29,0,106,64
30,0,106,96
31,0,96,143
32,0,96,180
33,0,96,219
34,0,96,255
35,0,96,255
36,0,143,0
37,0,143,32
38,0,143,64
39,0,143,96
40,0,143,128
41,0,128,180
42,0,128,219
43,0,128,255
44,0,128,255
45,0,180,0
46,0,180,32
47,0,180,64
48,0,180,96
49,0,180,128
50,0,180,160
51,0,160,219
52,0,160,255
53,0,160,255
54,0,219,0
55,0,219,32
56,0,219,64
57,0,219,96
58,0,219,128
59,0,219,160
60,0,219,192
61,0,192,255
62,0,192,255
63,0,255,0
64,0,255,32
65,0,255,64
66,0,255,96
67,0,255,128
68,0,255,160
69,0,255,192
70,0,255,224
71,0,224,255
72,0,255,0
73,0,255,32
74,0,255,64
75,0,255,96
76,0,255,128
77,0,255,160
78,0,255,192
79,0,255,224
80,0,255,255
81,35,0,0
82,35,0,32
83,32,0,70
84,32,0,106
85,32,0,143
86,32,0,180
87,32,0,219
88,32,0,255
89,32,0,255
90,35,32,0
91,32,32,32
92,28,32,67
93,25,32,102
94,21,32,138
95,16,32,175
96,11,32,212
97,4,32,251
98,0,32,255
99,32,70,0
100,28,67,32
101,28,67,64
102,25,64,102
103,21,64,138
104,16,64,175
105,11,64,212
106,4,64,251
107,0,64,255
108,32,106,0
109,25,102,32
110,25,102,64
111,25,102,96
112,21,96,138
113,16,96,175
114,11,96,212
115,4,96,251
116,0,96,255
117,32,143,0
118,21,138,32
119,21,138,64
120,21,138,96
121,21,138,128
122,16,128,175
123,11,128,212
124,4,128,251
125,0,128,255
126,32,180,0
127,16,175,32
128,16,175,64
129,16,175,96
130,16,175,128
131,16,175,160
132,11,160,212
133,4,160,251
134,0,160,255
135,32,219,0
136,11,212,32
137,11,212,64
138,11,212,96
139,11,212,128
140,11,212,160
141,11,212,192
142,4,192,251
143,0,192,255
144,32,255,0
145,4,251,32
146,4,251,64
147,4,251,96
148,4,251,128
149,4,251,160
150,4,251,192
151,4,251,224
152,0,224,255
153,32,255,0
154,0,255,32
155,0,255,64
156,0,255,96
157,0,255,128
158,0,255,160
159,0,255,192
160,0,255,224
161,0,255,255
162,70,0,0
163,70,0,32
164,70,0,64
165,64,0,106
166,64,0,143
167,64,0,180
168,64,0,219
169,64,0,255
170,64,0,255
171,70,32,0
172,67,28,32
173,67,28,64
174,64,25,102
175,64,21,138
176,64,16,175
177,64,11,212
178,64,4,251
179,64,0,255
180,70,64,0
181,27,26,10
182,26,26,26
183,60,64,99
184,6,24,186
185,0,4,253
186,20,43,235
187,43,64,244
188,37,64,255
189,64,106,0
190,64,102,25
191,60,99,64
192,60,99,96
193,33,96,158
194,0,79,237
195,48,96,207
196,43,96,244
197,37,96,255
198,64,143,0
199,64,138,21
200,0,195,17
201,27,165,96
202,57,134,128
203,53,128,170
204,0,138,255
205,0,121,255
206,37,127,255
207,64,180,0
208,64,175,16
209,53,170,64
210,0,252,75
211,53,170,128
212,53,170,160
213,0,191,255
214,43,160,244
215,37,160,255
216,64,219,0
217,64,212,11
218,48,207,64
219,48,207,96
220,48,207,128
221,48,207,160
222,48,207,192
223,43,192,244
224,37,192,255
225,64,255,0
226,64,251,4
227,43,244,64
228,43,244,96
229,43,244,128
230,43,244,160
231,43,244,192
232,43,244,224
233,37,224,255
234,64,255,0
235,64,255,0
236,37,255,64
237,37,255,96
238,37,255,128
239,37,255,160
240,37,255,192
241,37,255,224
242,37,255,255
243,106,0,0
244,106,0,32
245,106,0,64
246,106,0,96
247,96,0,143
248,96,0,180
249,96,0,219
250,96,0,255
251,96,0,255
252,106,32,0
253,102,25,32
254,102,25,64
255,102,25,96
256,96,21,138
257,96,16,175
258,96,11,212
259,96,4,251
260,96,0,255
261,106,64,0
262,102,64,25
263,49,24,26
264,99,60,96
265,96,57,134
266,79,0,239
267,85,20,235
268,80,5,255
269,96,37,255
270,106,96,0
271,102,96,25
272,49,47,24
273,47,47,47
274,92,96,131
275,38,56,218
276,85,96,202
277,52,75,255
278,75,96,255
279,96,143,0
280,96,138,21
281,96,134,57
282,63,159,72
283,92,131,128
284,65,128,190
285,0,121,255
286,38,112,255
287,75,128,255
288,96,180,0
289,96,175,16
290,96,170,53
291,28,227,49
292,59,197,128
293,89,166,160
294,0,183,255
295,38,167,255
296,75,160,255
297,96,219,0
298,96,212,11
299,96,207,48
300,85,202,96
301,85,202,128
302,85,202,160
303,85,202,192
304,80,192,239
305,75,192,255
306,96,255,0
307,96,251,4
308,96,244,43
309,80,239,96
310,80,239,128
311,80,239,160
312,80,239,192
313,80,239,224
314,75,224,255
315,96,255,0
316,96,255,0
317,96,255,37
318,75,255,96
319,75,255,128
320,75,255,160
321,75,255,192
322,75,255,224
323,75,255,255
324,143,0,0
325,143,0,32
326,143,0,64
327,143,0,96
328,143,0,128
329,128,0,180
330,128,0,219
331,128,0,255
332,128,0,255
333,143,32,0
334,138,21,32
335,138,21,64
336,138,21,96
337,138,21,128
338,128,16,175
339,128,11,212
340,128,4,251
341,128,0,255
342,143,64,0
343,138,64,21
344,134,57,64
345,134,57,96
346,134,57,128
347,128,53,170
348,128,48,207
349,128,43,244
350,128,37,255
351,143,96,0
352,138,96,21
353,134,96,57
354,131,92,96
355,131,92,128
356,128,89,166
357,128,85,202
358,128,80,239
359,128,75,255
360,143,128,0
361,138,128,21
362,134,128,57
363,80,77,44
364,77,77,77
365,100,108,187
366,38,65,255
367,117,128,234
368,112,128,255
369,128,180,0
370,128,175,16
371,128,170,53
372,128,195,60
373,95,191,104
374,73,118,115
375,38,167,255
376,76,160,255
377,112,160,255
378,128,219,0
379,128,212,11
380,128,207,48
381,128,202,85
382,60,255,81
383,121,198,160
384,121,198,192
385,76,204,255
386,112,192,255
387,128,255,0
388,128,251,4
389,128,244,43
390,128,239,80
391,117,234,128
392,117,234,160
393,117,234,192
394,117,234,224
395,112,224,255
396,128,255,0
397,128,255,0
398,128,255,37
399,128,255,75
400,112,255,128
401,112,255,160
402,112,255,192
403,112,255,224
404,112,255,255
405,180,0,0
406,180,0,32
407,180,0,64
408,180,0,96
409,180,0,128
410,180,0,160
411,160,0,219
412,160,0,255
413,160,0,255
414,180,32,0
415,175,16,32
416,175,16,64
417,175,16,96
418,175,16,128
419,175,16,160
420,160,11,212
421,160,4,251
422,160,0,255
423,180,64,0
424,219,48,0
425,246,0,8
426,170,53,96
427,255,0,148
428,170,53,160
429,160,48,207
430,160,43,244
431,160,37,255
432,180,96,0
433,175,96,16
434,232,80,0
435,214,42,59
436,237,17,127
437,193,62,181
438,160,85,202
439,160,80,239
440,160,75,255
441,180,128,0
442,175,128,16
443,170,128,53
444,189,127,65
445,118,73,77
446,175,111,170
447,115,68,168
448,160,117,234
449,160,112,255
450,180,160,0
451,175,160,16
452,170,160,53
453,166,160,89
454,118,115,73
455,115,115,115
456,132,140,219
457,114,139,255
458,149,160,255
459,160,219,0
460,160,212,11
461,160,207,48
462,160,202,85
463,160,198,121
464,127,223,136
465,156,195,192
466,114,197,255
467,149,198,255
468,160,255,0
469,160,251,4
470,160,244,43
471,160,239,80
472,160,234,117
473,153,230,160
474,153,230,192
475,153,230,224
476,149,224,255
477,160,255,0
478,160,255,0
479,160,255,37
480,160,255,75
481,160,255,112
482,149,255,160
483,149,255,192
484,149,255,224
485,149,255,255
486,219,0,0
487,219,0,32
488,219,0,64
489,219,0,96
490,219,0,128
491,219,0,160
492,219,0,192
493,192,0,255
494,192,0,255
495,219,32,0
496,212,11,32
497,212,11,64
498,212,11,96
499,255,0,134
500,212,11,160
501,212,11,192
502,192,4,251
503,192,0,255
504,219,64,0
505,212,64,11
506,207,48,64
507,207,48,96
508,255,0,128
509,207,48,160
510,207,48,192
511,192,43,244
512,192,37,255
513,219,96,0
514,212,96,11
515,255,64,0
516,255,9,40
517,255,18,111
518,255,0,180
519,202,85,192
520,192,80,239
521,192,75,255
522,219,128,0
523,212,128,11
524,207,128,48
525,255,112,22
526,246,74,91
527,255,37,159
528,198,121,192
529,192,117,234
530,192,112,255
531,219,160,0
532,212,160,11
533,207,160,48
534,202,160,85
535,221,159,97
536,217,133,141
537,218,133,211
538,191,127,255
539,192,149,255
540,219,192,0
541,212,192,11
542,207,192,48
543,202,192,85
544,198,192,121
545,195,192,156
546,159,159,159
547,150,169,255
548,185,192,255
549,192,255,0
550,192,251,4
551,192,244,43
552,192,239,80
553,192,234,117
554,192,240,143
555,159,255,168
556,151,255,253
557,185,226,255
558,192,255,0
559,192,255,0
560,192,255,37
561,192,255,75
562,192,255,112
563,192,255,149
564,185,255,192
565,185,255,224
566,185,255,255
567,255,0,0
568,255,0,32
569,255,0,64
570,255,0,96
571,255,0,128
572,255,0,160
573,255,0,192
574,255,0,224
575,224,0,255
576,255,32,0
577,251,4,32
578,251,4,64
579,251,4,96
580,255,0,128
581,255,0,170
582,251,4,192
583,251,4,224
584,224,0,255
585,255,64,0
586,251,64,4
587,244,43,64
588,244,43,96
589,255,0,121
590,255,0,166
591,244,43,192
592,244,43,224
593,224,37,255
594,255,96,0
595,251,96,4
596,244,96,43
597,239,80,96
598,240,78,127
599,255,38,160
600,255,38,207
601,239,80,224
602,224,75,255
603,255,128,0
604,251,128,4
605,244,128,43
606,239,128,80
607,234,117,128
608,249,103,156
609,255,76,202
610,255,76,254
611,224,112,255
612,255,160,0
613,251,160,4
614,244,160,43
615,239,160,80
616,255,149,76
617,255,114,129
618,255,112,191
619,255,114,255
620,224,149,255
621,255,192,0
622,251,192,4
623,255,210,0
624,255,207,38
625,255,200,83
626,253,191,129
627,249,165,173
628,255,150,255
629,224,185,255
630,255,224,0
631,251,224,4
632,254,255,0
633,254,255,38
634,254,255,76
635,255,245,126
636,239,234,175
637,207,207,207
638,221,227,255
639,224,255,0
640,224,255,0
641,224,255,37
642,224,255,75
