,R,G,B
0,0,0,0
1,0,0,50
2,0,0,91
3,0,0,131
4,0,0,170
5,0,0,208
6,0,0,245
7,0,0,255
8,0,0,255
9,0,50,0
10,0,50,32
11,0,32,91
12,0,32,131
13,0,32,170
14,0,32,208
15,0,32,245
16,0,32,255
17,0,32,255
18,0,91,0
19,0,91,32
20,0,91,64
21,0,64,131
22,0,64,170
23,0,64,208
24,0,64,245
25,0,64,255
26,0,64,255
27,0,131,0
28,0,131,32
29,0,131,64
30,0,131,96
31,0,96,170
32,0,96,208
33,0,96,245
34,0,96,255
35,0,96,255
36,0,170,0
37,0,170,32
38,0,170,64
39,0,170,96
40,0,170,128
41,0,128,208
42,0,128,245
43,0,128,255
44,0,128,255
45,0,208,0
46,0,208,32
47,0,208,64
48,0,208,96
49,0,208,128
50,0,208,160
51,0,160,245
52,0,160,255
53,0,160,255
54,0,245,0
55,0,245,32
56,0,245,64
57,0,245,96
58,0,245,128
59,0,245,160
60,0,245,192
61,0,192,255
62,0,192,255
63,0,255,0
64,0,255,32
65,0,255,64
66,0,255,96
67,0,255,128
68,0,255,160
69,0,255,192
70,0,255,224
71,0,224,255
72,0,255,0
73,0,255,32
74,0,255,64
75,0,255,96
76,0,255,128
77,0,255,160
78,0,255,192
79,0,255,224
80,0,255,255
81,50,0,0
82,50,0,32
83,32,0,91
84,32,0,131
85,32,0,170
86,32,0,208
87,32,0,245
88,32,0,255
89,32,0,255
90,50,32,0
91,32,32,32
92,13,32,82
93,4,32,123
94,0,32,163
95,0,32,202
96,0,32,240
97,0,32,255
98,0,32,255
99,32,91,0
100,13,82,32
101,13,82,64
102,4,64,123
103,0,64,163
104,0,64,202
105,0,64,240
106,0,64,255
107,0,64,255
108,32,131,0
109,4,123,32
110,4,123,64
111,4,123,96
112,0,96,163
113,0,96,202
114,0,96,240
115,0,96,255
116,0,96,255
117,32,170,0
118,0,163,32
119,0,163,64
120,0,163,96
121,0,163,128
122,0,128,202
123,0,128,240
124,0,128,255
125,0,128,255
126,32,208,0
127,0,202,32
128,0,202,64
129,0,202,96
130,0,202,128
131,0,202,160
132,0,160,240
133,0,160,255
134,0,160,255
135,32,245,0
136,0,240,32
137,0,240,64
138,0,240,96
139,0,240,128
140,0,240,160
141,0,240,192
142,0,192,255
143,0,192,255
144,32,255,0
145,0,255,32
146,0,255,64
147,0,255,96
148,0,255,128
149,0,255,160
150,0,255,192
151,0,255,224
152,0,224,255
153,32,255,0
154,0,255,32
155,0,255,64
156,0,255,96
157,0,255,128
158,0,255,160
159,0,255,192
160,0,255,224
161,0,255,255
162,91,0,0
163,91,0,32
164,91,0,64
165,64,0,131
166,64,0,170
167,64,0,208
168,64,0,245
169,64,0,255
170,64,0,255
171,91,32,0
172,82,13,32
173,82,13,64
174,64,4,123
175,64,0,163
176,64,0,202
177,64,0,240
178,64,0,255
179,64,0,255
180,91,64,0
181,37,26,1
182,26,26,26
183,45,64,114
184,0,24,213
185,0,4,255
186,0,43,255
187,16,64,255
188,10,64,255
189,64,131,0
190,64,123,4
191,45,114,64
192,45,114,96
193,8,96,183
194,0,79,255
195,22,96,234
196,16,96,255
197,10,96,255
198,64,170,0
199,64,163,0
200,0,222,17
201,1,190,96
202,36,155,128
203,28,128,195
204,0,138,255
205,0,121,255
206,10,127,255
207,64,208,0
208,64,202,0
209,28,195,64
210,0,255,75
211,28,195,128
212,28,195,160
213,0,191,255
214,16,160,255
215,10,160,255
216,64,245,0
217,64,240,0
218,22,234,64
219,22,234,96
220,22,234,128
221,22,234,160
222,22,234,192
223,16,192,255
224,10,192,255
225,64,255,0
226,64,255,0
227,16,255,64
228,16,255,96
229,16,255,128
230,16,255,160
231,16,255,192
232,16,255,224
233,10,224,255
234,64,255,0
235,64,255,0
236,10,255,64
237,10,255,96
238,10,255,128
239,10,255,160
240,10,255,192
241,10,255,224
242,10,255,255
243,131,0,0
244,131,0,32
245,131,0,64
246,131,0,96
247,96,0,170
248,96,0,208
249,96,0,245
250,96,0,255
251,96,0,255
252,131,32,0
253,123,4,32
254,123,4,64
255,123,4,96
256,96,0,163
257,96,0,202
258,96,0,240
259,96,0,255
260,96,0,255
261,131,64,0
262,123,64,4
263,61,11,26
264,114,45,96
265,96,36,155
266,79,0,255
267,85,0,255
268,80,0,255
269,96,10,255
270,131,96,0
271,123,96,4
272,61,47,11
273,47,47,47
274,77,96,146
275,11,56,245
276,60,96,227
277,25,75,255
278,48,96,255
279,96,170,0
280,96,163,0
281,96,155,36
282,40,182,72
283,77,146,128
284,40,128,215
285,0,121,255
286,11,112,255
287,48,128,255
288,96,208,0
289,96,202,0
290,96,195,28
291,1,254,49
292,33,222,128
293,68,187,160
294,0,183,255
295,11,167,255
296,48,160,255
297,96,245,0
298,96,240,0
299,96,234,22
300,60,227,96
301,60,227,128
302,60,227,160
303,60,227,192
304,54,192,255
305,48,192,255
306,96,255,0
307,96,255,0
308,96,255,16
309,54,255,96
310,54,255,128
311,54,255,160
312,54,255,192
313,54,255,224
314,48,224,255
315,96,255,0
316,96,255,0
317,96,255,10
318,48,255,96
319,48,255,128
320,48,255,160
321,48,255,192
322,48,255,224
323,48,255,255
324,170,0,0
325,170,0,32
326,170,0,64
327,170,0,96
328,170,0,128
329,128,0,208
330,128,0,245
331,128,0,255
332,128,0,255
333,170,32,0
334,163,0,32
335,163,0,64
336,163,0,96
337,163,0,128
338,128,0,202
339,128,0,240
340,128,0,255
341,128,0,255
342,170,64,0
343,163,64,0
344,155,36,64
345,155,36,96
346,155,36,128
347,128,28,195
348,128,22,234
349,128,16,255
350,128,10,255
351,170,96,0
352,163,96,0
353,155,96,36
354,146,77,96
355,146,77,128
356,128,68,187
357,128,60,227
358,128,54,255
359,128,48,255
360,170,128,0
361,163,128,0
362,155,128,36
363,94,77,29
364,77,77,77
365,78,108,209
366,11,65,255
367,92,128,255
368,86,128,255
369,128,208,0
370,128,202,0
371,128,195,28
372,128,221,34
373,72,214,104
374,56,135,115
375,11,167,255
376,49,160,255
377,86,160,255
378,128,245,0
379,128,240,0
380,128,234,22
381,128,227,60
382,33,255,81
383,100,219,160
384,100,219,192
385,49,204,255
386,86,192,255
387,128,255,0
388,128,255,0
389,128,255,16
390,128,255,54
391,92,255,128
392,92,255,160
393,92,255,192
394,92,255,224
395,86,224,255
396,128,255,0
397,128,255,0
398,128,255,10
399,128,255,48
400,86,255,128
401,86,255,160
402,86,255,192
403,86,255,224
404,86,255,255
405,208,0,0
406,208,0,32
407,208,0,64
408,208,0,96
409,208,0,128
410,208,0,160
411,160,0,245
412,160,0,255
413,160,0,255
414,208,32,0
415,202,0,32
416,202,0,64
417,202,0,96
418,202,0,128
419,202,0,160
420,160,0,240
421,160,0,255
422,160,0,255
423,208,64,0
424,245,48,0
425,255,0,8
426,195,28,96
427,255,0,148
428,195,28,160
429,160,22,234
430,160,16,255
431,160,10,255
432,208,96,0
433,202,96,0
434,255,80,0
435,241,15,59
436,255,0,127
437,218,37,181
438,160,60,227
439,160,54,255
440,160,48,255
441,208,128,0
442,202,128,0
443,195,128,28
444,214,127,40
445,135,56,77
446,194,92,170
447,115,44,191
448,160,92,255
449,160,86,255
450,208,160,0
451,202,160,0
452,195,160,28
453,187,160,68
454,135,115,56
455,115,115,115
456,110,140,241
457,87,139,255
458,124,160,255
459,160,245,0
460,160,240,0
461,160,234,22
462,160,227,60
463,160,219,100
464,104,246,136
465,141,210,192
466,87,197,255
467,124,198,255
468,160,255,0
469,160,255,0
470,160,255,16
471,160,255,54
472,160,255,92
473,132,251,160
474,132,251,192
475,132,251,224
476,124,224,255
477,160,255,0
478,160,255,0
479,160,255,10
480,160,255,48
481,160,255,86
482,124,255,160
483,124,255,192
484,124,255,224
485,124,255,255
486,245,0,0
487,245,0,32
488,245,0,64
489,245,0,96
490,245,0,128
491,245,0,160
492,245,0,192
493,192,0,255
494,192,0,255
495,245,32,0
496,240,0,32
497,240,0,64
498,240,0,96
499,255,0,134
500,240,0,160
501,240,0,192
502,192,0,255
503,192,0,255
504,245,64,0
505,240,64,0
506,234,22,64
507,234,22,96
508,255,0,128
509,234,22,160
510,234,22,192
511,192,16,255
512,192,10,255
513,245,96,0
514,240,96,0
515,255,64,0
516,255,0,40
517,255,0,111
518,255,0,180
519,227,60,192
520,192,54,255
521,192,48,255
522,245,128,0
523,240,128,0
524,234,128,22
525,255,112,0
526,255,47,91
527,255,10,159
528,219,100,192
529,192,92,255
530,192,86,255
531,245,160,0
532,240,160,0
533,234,160,22
534,227,160,60
535,246,159,72
536,239,112,141
537,240,111,211
538,191,101,255
539,192,124,255
540,245,192,0
541,240,192,0
542,234,192,22
543,227,192,60
544,219,192,100
545,210,192,141
546,159,159,159
547,126,169,255
548,164,192,255
549,192,255,0
550,192,255,0
551,192,255,16
552,192,255,54
553,192,255,92
554,192,255,120
555,136,255,168
556,127,255,253
557,164,226,255
558,192,255,0
559,192,255,0
560,192,255,10
561,192,255,48
562,192,255,86
563,192,255,124
564,164,255,192
565,164,255,224
566,164,255,255
567,255,0,0
568,255,0,32
569,255,0,64
570,255,0,96
571,255,0,128
572,255,0,160
573,255,0,192
574,255,0,224
575,224,0,255
576,255,32,0
577,255,0,32
578,255,0,64
579,255,0,96
580,255,0,128
581,255,0,170
582,255,0,192
583,255,0,224
584,224,0,255
585,255,64,0
586,255,64,0
587,255,16,64
588,255,16,96
589,255,0,121
590,255,0,166
591,255,16,192
592,255,16,224
593,224,10,255
594,255,96,0
595,255,96,0
596,255,96,16
597,255,54,96
598,255,51,127
599,255,11,160
600,255,11,207
601,255,54,224
602,224,48,255
603,255,128,0
604,255,128,0
605,255,128,16
606,255,128,54
607,255,92,128
608,255,77,156
609,255,49,202
610,255,49,254
611,224,86,255
612,255,160,0
613,255,160,0
614,255,160,16
615,255,160,54
616,255,149,49
617,255,87,129
618,255,86,191
619,255,87,255
620,224,124,255
621,255,192,0
622,255,192,0
623,255,210,0
624,255,207,11
625,255,200,56
626,255,191,104
627,255,144,173
628,255,126,255
629,224,164,255
630,255,224,0
631,255,224,0
632,254,255,0
633,254,255,11
634,254,255,49
635,255,245,101
636,255,234,156
637,207,207,207
638,206,227,255
639,224,255,0
640,224,255,0
641,224,255,10
642,224,255,48
643,224,255,86
644,224,255,124
645,224,255,164
646,206,255,224
647,206,255,255
648,255,0,0
649,255,0,32
650,255,0,64
651,255,0,96
652,255,0,128
653,255,0,160
654,255,0,192
655,255,0,224
656,255,0,255
657,255,32,0
658,255,0,32
659,255,0,64
660,255,0,96
661,255,0,128
662,255,0,160
663,255,0,192
664,255,0,224
665,255,0,255
666,255,64,0
667,255,64,0
668,255,10,64
669,255,10,96
670,255,10,128
671,255,10,159
672,255,10,192
673,255,10,224
674,255,10,255
675,255,96,0
676,255,96,0
677,255,96,10
678,255,48,96
679,255,48,128
680,255,48,160
681,255,48,192
682,255,48,224
683,255,48,255
684,255,128,0
685,255,128,0
686,255,128,10
687,255,128,48
688,255,86,128
689,255,86,160
690,255,86,192
691,255,86,224
692,255,86,255
693,255,160,0
694,255,160,0
695,255,160,10
696,255,160,48
697,255,160,86
698,255,124,160
699,255,124,192
700,255,124,224
701,255,124,255
702,255,192,0
703,255,192,0
704,255,192,10
705,255,192,48
706,255,192,86
707,255,192,124
708,255,164,192
709,255,164,224
710,255,164,255
711,255,224,0
712,255,224,0
713,255,224,10
714,255,223,48
715,255,224,86
716,255,224,124
717,255,224,164
718,255,206,224
719,255,206,255
720,255,255,0
721,255,255,0
722,255,255,10
723,255,255,48
724,255,255,86
725,255,255,124
726,255,255,164
727,255,255,206
728,255,255,255
