,R,G,B
0,0,0,0
1,0,0,16
2,0,0,47
3,0,0,87
4,0,0,131
5,0,0,174
6,0,0,213
7,0,0,242
8,0,0,255
9,0,16,0
10,0,16,16
11,0,16,47
12,0,16,87
13,0,16,131
14,0,16,174
15,0,16,213
16,0,16,242
17,0,16,255
18,0,47,0
19,0,47,16
20,0,47,47
21,0,47,87
22,0,47,131
23,0,47,174
24,0,47,213
25,0,47,242
26,0,47,255
27,0,87,0
28,0,87,16
29,0,87,47
30,0,87,87
31,0,87,131
32,0,87,174
33,0,87,213
34,0,87,242
35,0,87,255
36,0,131,0
37,0,131,16
38,0,131,47
39,0,131,87
40,0,131,131
41,0,131,174
42,0,131,213
43,0,131,242
44,0,131,255
45,0,174,0
46,0,174,16
47,0,174,47
48,0,174,87
49,0,174,131
50,0,174,174
51,0,174,213
52,0,174,242
53,0,174,255
54,0,213,0
55,0,213,16
56,0,213,47
57,0,213,87
58,0,213,131
59,0,213,174
60,0,213,213
61,0,213,242
62,0,213,255
63,0,242,0
64,0,242,16
65,0,242,47
66,0,242,87
67,0,242,131
68,0,242,174
69,0,242,213
70,0,242,242
71,0,242,255
72,0,255,0
73,0,255,16
74,0,255,47
75,0,255,87
76,0,255,131
77,0,255,174
78,0,255,213
79,0,255,242
80,0,255,255
81,16,0,0
82,16,0,16
83,16,0,47
84,16,0,87
85,16,0,131
86,16,0,174
87,16,0,213
88,16,0,242
89,16,0,255
90,16,16,0
91,16,16,16
92,16,16,47
93,16,16,87
94,16,16,131
95,16,16,174
96,16,16,213
97,16,16,242
98,16,16,255
99,16,47,0
100,16,47,16
101,16,47,47
102,16,47,87
103,16,47,131
104,16,47,174
105,16,47,213
106,16,47,242
107,16,47,255
108,16,87,0
109,16,87,16
110,16,87,47
111,16,87,87
112,16,87,131
113,16,87,174
114,16,87,213
115,16,87,242
116,16,87,255
117,16,131,0
118,16,131,16
119,16,131,47
120,16,131,87
121,16,131,131
122,16,131,174
123,16,131,213
124,16,131,242
125,16,131,255
126,16,174,0
127,16,174,16
128,16,174,47
129,16,174,87
130,16,174,131
131,16,174,174
132,16,174,213
133,16,174,242
134,16,174,255
135,16,213,0
136,16,213,16
137,16,213,47
138,16,213,87
139,16,213,131
140,16,213,174
141,16,213,213
142,16,213,242
143,16,213,255
144,16,242,0
145,16,242,16
146,16,242,47
147,16,242,87
148,16,242,131
149,16,242,174
150,16,242,213
151,16,242,242
152,16,242,255
153,16,255,0
154,16,255,16
155,16,255,47
156,16,255,87
157,16,255,131
158,16,255,174
159,16,255,213
160,16,255,242
161,16,255,255
162,47,0,0
163,47,0,16
164,47,0,47
165,47,0,87
166,47,0,131
167,47,0,174
168,47,0,213
169,47,0,242
170,47,0,255
171,47,16,0
172,47,16,16
173,47,16,47
174,47,16,87
175,47,16,131
176,47,16,174
177,47,16,213
178,47,16,242
179,47,16,255
180,47,47,0
181,11,11,3
182,11,11,11
183,47,47,87
184,10,10,184
185,0,0,239
186,25,25,233
187,47,47,242
188,47,47,255
189,47,87,0
190,47,87,16
191,47,87,47
192,47,87,87
193,27,87,157
194,4,65,230
195,47,87,213
196,47,87,242
197,47,87,255
198,47,131,0
199,47,131,16
200,5,193,5
201,23,163,87
202,47,131,131
203,47,131,174
204,0,144,255
205,17,121,255
206,47,129,255
207,47,174,0
208,47,174,16
209,47,174,47
210,0,238,60
211,47,174,131
212,47,174,174
213,0,212,255
214,47,174,242
215,47,174,255
216,47,213,0
217,47,213,16
218,47,213,47
219,47,213,87
220,47,213,131
221,47,213,174
222,47,213,213
223,47,213,242
224,47,213,255
225,47,242,0
226,47,242,16
227,47,242,47
228,47,242,87
229,47,242,131
230,47,242,174
231,47,242,213
232,47,242,242
233,47,242,255
234,47,255,0
235,47,255,16
236,47,255,47
237,47,255,87
238,47,255,131
239,47,255,174
240,47,255,213
241,47,255,242
242,47,255,255
243,87,0,0
244,87,0,16
245,87,0,47
246,87,0,87
247,87,0,131
248,87,0,174
249,87,0,213
250,87,0,242
251,87,0,255
252,87,16,0
253,87,16,16
254,87,16,47
255,87,16,87
256,87,16,131
257,87,16,174
258,87,16,213
259,87,16,242
260,87,16,255
261,87,47,0
262,87,47,16
263,29,11,11
264,87,47,87
265,87,47,131
266,65,3,231
267,73,25,233
268,67,21,254
269,87,47,255
270,87,87,0
271,87,87,16
272,29,29,11
273,29,29,29
274,87,87,131
275,38,38,221
276,87,87,213
277,60,60,253
278,87,87,255
279,87,131,0
280,87,131,16
281,87,131,47
282,57,162,57
283,87,131,131
284,63,131,198
285,17,121,255
286,48,109,255
287,87,131,255
288,87,174,0
289,87,174,16
290,87,174,47
291,31,228,31
292,57,204,131
293,87,174,174
294,17,202,255
295,48,183,255
296,87,174,255
297,87,213,0
298,87,213,16
299,87,213,47
300,87,213,87
301,87,213,131
302,87,213,174
303,87,213,213
304,87,213,242
305,87,213,255
306,87,242,0
307,87,242,16
308,87,242,47
309,87,242,87
310,87,242,131
311,87,242,174
312,87,242,213
313,87,242,242
314,87,242,255
315,87,255,0
316,87,255,16
317,87,255,47
318,87,255,87
319,87,255,131
320,87,255,174
321,87,255,213
322,87,255,242
323,87,255,255
324,131,0,0
325,131,0,16
326,131,0,47
327,131,0,87
328,131,0,131
329,131,0,174
330,131,0,213
331,131,0,242
332,131,0,255
333,131,16,0
334,131,16,16
335,131,16,47
336,131,16,87
337,131,16,131
338,131,16,174
339,131,16,213
340,131,16,242
341,131,16,255
342,131,47,0
343,131,47,16
344,131,47,47
345,131,47,87
346,131,47,131
347,131,47,174
348,131,47,213
349,131,47,242
350,131,47,255
351,131,87,0
352,131,87,16
353,131,87,47
354,131,87,87
355,131,87,131
356,131,87,174
357,131,87,213
358,131,87,242
359,131,87,255
360,131,131,0
361,131,131,16
362,131,131,47
363,63,63,29
364,63,63,63
365,103,103,199
366,48,48,255
367,131,131,242
368,131,131,255
369,131,174,0
370,131,174,16
371,131,174,47
372,131,202,58
373,98,202,98
374,63,113,113
375,48,183,255
376,88,174,255
377,131,174,255
378,131,213,0
379,131,213,16
380,131,213,47
381,131,213,87
382,68,250,68
383,131,213,174
384,131,213,213
385,88,225,255
386,131,213,255
387,131,242,0
388,131,242,16
389,131,242,47
390,131,242,87
391,131,242,131
392,131,242,174
