,R,G,B
0,0,0,0
1,0,0,33
2,0,0,67
3,0,0,101
4,0,0,136
5,0,0,171
6,0,0,207
7,0,0,245
8,0,0,255
9,0,33,0
10,0,33,32
11,0,32,67
12,0,32,101
13,0,32,136
14,0,32,171
15,0,32,207
16,0,32,245
17,0,32,255
18,0,67,0
19,0,67,32
20,0,67,64
21,0,64,101
22,0,64,136
23,0,64,171
24,0,64,207
25,0,64,245
26,0,64,255
27,0,101,0
28,0,101,32
29,0,101,64
30,0,101,96
31,0,96,136
32,0,96,171
33,0,96,207
34,0,96,245
35,0,96,255
36,0,136,0
37,0,136,32
38,0,136,64
39,0,136,96
40,0,136,128
41,0,128,171
42,0,128,207
43,0,128,245
44,0,128,255
45,0,171,0
46,0,171,32
47,0,171,64
48,0,171,96
49,0,171,128
50,0,171,160
51,0,160,207
52,0,160,245
53,0,160,255
54,0,207,0
55,0,207,32
56,0,207,64
57,0,207,96
58,0,207,128
59,0,207,160
60,0,207,192
61,0,192,245
62,0,192,255
63,0,245,0
64,0,245,32
65,0,245,64
66,0,245,96
67,0,245,128
68,0,245,160
69,0,245,192
70,0,245,224
71,0,224,255
72,0,255,0
73,0,255,32
74,0,255,64
75,0,255,96
76,0,255,128
77,0,255,160
78,0,255,192
79,0,255,224
80,0,255,255
81,33,0,0
82,33,0,32
83,32,0,67
84,32,0,101
85,32,0,136
86,32,0,171
87,32,0,207
88,32,0,245
89,32,0,255
90,33,32,0
91,32,32,32
92,30,32,65
93,28,32,99
94,26,32,133
95,23,32,168
96,20,32,203
97,16,32,239
98,10,32,255
99,32,67,0
100,30,65,32
101,30,65,64
102,28,64,99
103,26,64,133
104,23,64,168
105,20,64,203
106,16,64,239
107,10,64,255
108,32,101,0
109,28,99,32
110,28,99,64
111,28,99,96
112,26,96,133
113,23,96,168
114,20,96,203
115,16,96,239
116,10,96,255
117,32,136,0
118,26,133,32
119,26,133,64
120,26,133,96
121,26,133,128
122,23,128,168
123,20,128,203
124,16,128,239
125,10,128,255
126,32,171,0
127,23,168,32
128,23,168,64
129,23,168,96
130,23,168,128
131,23,168,160
132,20,160,203
133,16,160,239
134,10,160,255
135,32,207,0
136,20,203,32
137,20,203,64
138,20,203,96
139,20,203,128
140,20,203,160
141,20,203,192
142,16,192,239
143,10,192,255
144,32,245,0
145,16,239,32
146,16,239,64
147,16,239,96
148,16,239,128
149,16,239,160
150,16,239,192
151,16,239,224
152,10,224,255
153,32,255,0
154,10,255,32
155,10,255,64
156,10,255,96
157,10,255,128
158,10,255,160
159,10,255,192
160,10,255,224
161,10,255,255
162,67,0,0
163,67,0,32
164,67,0,64
165,64,0,101
166,64,0,136
167,64,0,171
168,64,0,207
169,64,0,245
170,64,0,255
171,67,32,0
172,65,30,32
173,65,30,64
174,64,28,99
175,64,26,133
176,64,23,168
177,64,20,203
178,64,16,239
179,64,10,255
180,67,64,0
181,26,26,11
182,26,26,26
183,62,64,97
184,14,24,177
185,0,4,239
186,30,43,225
187,52,64,235
188,48,64,255
189,64,101,0
190,64,99,28
191,62,97,64
192,62,97,96
193,39,96,153
194,0,79,225
195,55,96,200
196,52,96,235
197,48,96,255
198,64,136,0
199,64,133,26
200,6,186,17
201,33,158,96
202,60,131,128
203,58,128,165
204,0,138,255
205,11,121,255
206,48,127,255
207,64,171,0
208,64,168,23
209,58,165,64
210,0,238,75
