,R,G,B
0,0,0,0
1,0,0,42
2,0,0,85
3,0,0,126
4,0,0,167
5,0,0,207
6,0,0,246
7,0,0,255
8,0,0,255
9,0,42,0
10,0,42,32
11,0,32,85
12,0,32,126
13,0,32,167
14,0,32,207
15,0,32,246
16,0,32,255
17,0,32,255
18,0,85,0
19,0,85,32
20,0,85,64
21,0,64,126
22,0,64,167
23,0,64,207
24,0,64,246
25,0,64,255
26,0,64,255
27,0,126,0
28,0,126,32
29,0,126,64
30,0,126,96
31,0,96,167
32,0,96,207
33,0,96,246
34,0,96,255
35,0,96,255
36,0,167,0
37,0,167,32
38,0,167,64
39,0,167,96
40,0,167,128
41,0,128,207
42,0,128,246
43,0,128,255
44,0,128,255
45,0,207,0
46,0,207,32
47,0,207,64
48,0,207,96
49,0,207,128
50,0,207,160
51,0,160,246
52,0,160,255
53,0,160,255
54,0,246,0
55,0,246,32
56,0,246,64
57,0,246,96
58,0,246,128
59,0,246,160
60,0,246,192
61,0,192,255
62,0,192,255
63,0,255,0
64,0,255,32
65,0,255,64
66,0,255,96
67,0,255,128
68,0,255,160
69,0,255,192
70,0,255,224
71,0,224,255
72,0,255,0
73,0,255,32
74,0,255,64
75,0,255,96
76,0,255,128
77,0,255,160
78,0,255,192
79,0,255,224
80,0,255,255
81,42,0,0
82,42,0,32
83,32,0,85
84,32,0,126
85,32,0,167
86,32,0,207
87,32,0,246
88,32,0,255
89,32,0,255
90,42,32,0
91,32,32,32
92,21,32,74
93,11,32,117
94,1,32,158
95,0,32,199
96,0,32,239
97,0,32,255
98,0,32,255
99,32,85,0
100,21,74,32
101,21,74,64
102,11,64,117
103,1,64,158
104,0,64,199
105,0,64,239
106,0,64,255
107,0,64,255
108,32,126,0
109,11,117,32
110,11,117,64
111,11,117,96
112,1,96,158
113,0,96,199
114,0,96,239
115,0,96,255
116,0,96,255
117,32,167,0
118,1,158,32
119,1,158,64
120,1,158,96
121,1,158,128
122,0,128,199
123,0,128,239
124,0,128,255
125,0,128,255
126,32,207,0
127,0,199,32
128,0,199,64
129,0,199,96
130,0,199,128
131,0,199,160
132,0,160,239
133,0,160,255
134,0,160,255
135,32,246,0
136,0,239,32
137,0,239,64
138,0,239,96
139,0,239,128
140,0,239,160
141,0,239,192
142,0,192,255
143,0,192,255
144,32,255,0
145,0,255,32
146,0,255,64
147,0,255,96
148,0,255,128
149,0,255,160
150,0,255,192
151,0,255,224
152,0,224,255
153,32,255,0
154,0,255,32
155,0,255,64
156,0,255,96
157,0,255,128
158,0,255,160
159,0,255,192
160,0,255,224
161,0,255,255
162,85,0,0
163,85,0,32
164,85,0,64
165,64,0,126
166,64,0,167
167,64,0,207
168,64,0,246
169,64,0,255
170,64,0,255
171,85,32,0
172,74,21,32
173,74,21,64
174,64,11,117
175,64,1,158
176,64,0,199
177,64,0,239
178,64,0,255
179,64,0,255
180,85,64,0
181,30,26,7
182,26,26,26
183,53,64,106
184,0,24,211
185,0,4,255
186,0,43,255
187,16,64,255
188,9,64,255
189,64,126,0
190,64,117,11
191,53,106,64
192,53,106,96
193,12,96,179
194,0,79,255
195,24,96,231
196,16,96,255
197,9,96,255
198,64,167,0
199,64,158,1
200,0,222,17
201,4,187,96
202,43,149,128
203,33,128,190
204,0,138,255
205,0,121,255
206,9,127,255
207,64,207,0
208,64,199,0
209,33,190,64
210,0,255,75
211,33,190,128
212,33,190,160
213,0,191,255
214,16,160,255
215,9,160,255
216,64,246,0
217,64,239,0
218,24,231,64
219,24,231,96
220,24,231,128
221,24,231,160
222,24,231,192
223,16,192,255
224,9,192,255
225,64,255,0
226,64,255,0
227,16,255,64
228,16,255,96
229,16,255,128
230,16,255,160
231,16,255,192
232,16,255,224
233,9,224,255
234,64,255,0
235,64,255,0
236,9,255,64
237,9,255,96
238,9,255,128
239,9,255,160
240,9,255,192
241,9,255,224
242,9,255,255
243,126,0,0
244,126,0,32
245,126,0,64
246,126,0,96
247,96,0,167
248,96,0,207
249,96,0,246
250,96,0,255
251,96,0,255
252,126,32,0
253,117,11,32
254,117,11,64
255,117,11,96
256,96,1,158
257,96,0,199
258,96,0,239
259,96,0,255
260,96,0,255
261,126,64,0
262,117,64,11
263,54,19,26
264,106,53,96
265,96,43,149
266,79,0,255
267,85,0,255
268,80,0,255
269,96,9,255
270,126,96,0
271,117,96,11
272,54,47,19
273,47,47,47
274,85,96,138
275,12,56,243
276,65,96,222
277,25,75,255
278,48,96,255
279,96,167,0
280,96,158,1
281,96,149,43
282,46,176,72
283,85,138,128
284,44,128,211
285,0,121,255
286,10,112,255
287,48,128,255
288,96,207,0
289,96,199,0
290,96,190,33
291,1,254,49
292,36,219,128
293,75,181,160
294,0,183,255
295,10,167,255
296,48,160,255
297,96,246,0
298,96,239,0
299,96,231,24
300,65,222,96
301,65,222,128
302,65,222,160
303,65,222,192
304,56,192,255
305,48,192,255
306,96,255,0
307,96,255,0
308,96,255,16
309,56,255,96
310,56,255,128
311,56,255,160
312,56,255,192
313,56,255,224
314,48,224,255
315,96,255,0
316,96,255,0
317,96,255,9
318,48,255,96
319,48,255,128
320,48,255,160
321,48,255,192
322,48,255,224
323,48,255,255
324,167,0,0
325,167,0,32
326,167,0,64
327,167,0,96
328,167,0,128
329,128,0,207
330,128,0,246
331,128,0,255
332,128,0,255
333,167,32,0
334,158,1,32
335,158,1,64
336,158,1,96
337,158,1,128
338,128,0,199
339,128,0,239
340,128,0,255
341,128,0,255
342,167,64,0
343,158,64,1
344,149,43,64
345,149,43,96
346,149,43,128
347,128,33,190
348,128,24,231
349,128,16,255
350,128,9,255
351,167,96,0
352,158,96,1
353,149,96,43
354,138,85,96
355,138,85,128
356,128,75,181
357,128,65,222
358,128,56,255
359,128,48,255
360,167,128,0
361,158,128,1
362,149,128,43
363,87,77,37
364,77,77,77
365,84,108,203
366,10,65,255
367,97,128,254
368,88,128,255
369,128,207,0
370,128,199,0
371,128,190,33
372,128,217,38
373,78,208,104
374,64,127,115
375,10,167,255
376,49,160,255
377,88,160,255
378,128,246,0
379,128,239,0
380,128,231,24
381,128,222,65
382,33,255,81
383,107,213,160
384,107,213,192
385,49,204,255
386,88,192,255
387,128,255,0
388,128,255,0
389,128,255,16
390,128,255,56
391,97,254,128
392,97,254,160
393,97,254,192
394,97,254,224
395,88,224,255
396,128,255,0
397,128,255,0
398,128,255,9
399,128,255,48
400,88,255,128
401,88,255,160
402,88,255,192
403,88,255,224
404,88,255,255
405,207,0,0
406,207,0,32
407,207,0,64
408,207,0,96
409,207,0,128
410,207,0,160
411,160,0,246
412,160,0,255
413,160,0,255
414,207,32,0
415,199,0,32
416,199,0,64
417,199,0,96
418,199,0,128
419,199,0,160
420,160,0,239
421,160,0,255
422,160,0,255
423,207,64,0
424,246,48,0
425,255,0,8
426,190,33,96
427,255,0,148
428,190,33,160
429,160,24,231
430,160,16,255
431,160,9,255
432,207,96,0
433,199,96,0
434,255,80,0
435,239,16,59
436,255,0,127
437,214,41,181
438,160,65,222
439,160,56,255
440,160,48,255
441,207,128,0
442,199,128,0
443,190,128,33
444,210,127,44
445,127,64,77
446,187,99,170
447,115,50,185
448,160,97,254
449,160,88,255
450,207,160,0
451,199,160,0
452,190,160,33
453,181,160,75
454,127,115,64
455,115,115,115
456,116,140,235
457,90,139,255
458,129,160,255
459,160,246,0
460,160,239,0
461,160,231,24
462,160,222,65
463,160,213,107
464,110,240,136
465,149,202,192
466,90,197,255
467,129,198,255
468,160,255,0
469,160,255,0
470,160,255,16
471,160,255,56
472,160,254,97
473,139,245,160
474,139,245,192
475,139,245,224
476,129,224,255
477,160,255,0
478,160,255,0
479,160,255,9
480,160,255,48
481,160,255,88
482,129,255,160
483,129,255,192
484,129,255,224
485,129,255,255
486,246,0,0
487,246,0,32
488,246,0,64
489,246,0,96
490,246,0,128
491,246,0,160
492,246,0,192
493,192,0,255
494,192,0,255
495,246,32,0
496,239,0,32
497,239,0,64
498,239,0,96
499,255,0,134
500,239,0,160
501,239,0,192
502,192,0,255
503,192,0,255
504,246,64,0
505,239,64,0
506,231,24,64
507,231,24,96
508,255,0,128
509,231,24,160
510,231,24,192
511,192,16,255
512,192,9,255
513,246,96,0
514,239,96,0
515,255,64,0
516,255,0,40
517,255,0,111
518,255,0,180
519,222,65,192
520,192,56,255
521,192,48,255
522,246,128,0
523,239,128,0
524,231,128,24
525,255,112,0
526,255,48,91
527,255,9,159
528,213,107,192
529,192,97,254
530,192,88,255
531,246,160,0
532,239,160,0
533,231,160,24
534,222,160,65
535,242,159,76
536,232,118,141
537,234,118,211
538,191,105,255
539,192,129,255
540,246,192,0
541,239,192,0
542,231,192,24
543,222,192,65
544,213,192,107
545,202,192,149
546,159,159,159
547,130,169,255
548,171,192,255
549,192,255,0
550,192,255,0
551,192,255,16
552,192,255,56
553,192,254,97
554,192,255,126
555,142,255,168
556,132,255,253
557,171,226,255
558,192,255,0
559,192,255,0
560,192,255,9
561,192,255,48
562,192,255,88
563,192,255,129
564,171,255,192
565,171,255,224
566,171,255,255
567,255,0,0
568,255,0,32
569,255,0,64
570,255,0,96
571,255,0,128
572,255,0,160
573,255,0,192
574,255,0,224
575,224,0,255
576,255,32,0
577,255,0,32
578,255,0,64
579,255,0,96
580,255,0,128
581,255,0,170
582,255,0,192
583,255,0,224
584,224,0,255
585,255,64,0
586,255,64,0
587,255,16,64
588,255,16,96
589,255,0,121
590,255,0,166
591,255,16,192
592,255,16,224
593,224,9,255
594,255,96,0
595,255,96,0
596,255,96,16
597,255,56,96
598,255,53,127
599,255,10,160
600,255,10,207
601,255,56,224
602,224,48,255
603,255,128,0
604,255,128,0
605,255,128,16
606,255,128,56
607,254,97,128
608,255,80,156
609,255,49,202
610,255,49,254
611,224,88,255
612,255,160,0
613,255,160,0
614,255,160,16
615,255,160,56
616,255,149,49
617,255,90,129
618,255,88,191
619,255,90,255
620,224,129,255
621,255,192,0
622,255,192,0
623,255,210,0
624,255,207,10
625,255,200,57
626,255,191,108
627,255,150,173
628,255,130,255
629,224,171,255
630,255,224,0
631,255,224,0
632,254,255,0
633,254,255,10
634,254,255,49
635,255,245,105
636,251,234,163
637,207,207,207
638,213,227,255
639,224,255,0
640,224,255,0
641,224,255,9
642,224,255,48
643,224,255,88
644,224,255,129
645,224,255,171
646,213,255,224
647,213,255,255
648,255,0,0
649,255,0,32
650,255,0,64
651,255,0,96
652,255,0,128
653,255,0,160
654,255,0,192
655,255,0,224
656,255,0,255
657,255,32,0
658,255,0,32
659,255,0,64
660,255,0,96
661,255,0,128
662,255,0,160
663,255,0,192
664,255,0,224
665,255,0,255
666,255,64,0
667,255,64,0
668,255,9,64
669,255,9,96
670,255,9,128
671,255,9,159
672,255,9,192
673,255,9,224
674,255,9,255
675,255,96,0
676,255,96,0
