,R,G,B
0,0,0,0
1,0,0,38
2,0,0,77
3,0,0,116
4,0,0,155
5,0,0,194
6,0,0,234
7,0,0,255
8,0,0,255
9,0,38,0
10,0,38,32
11,0,32,77
12,0,32,116
13,0,32,155
14,0,32,194
15,0,32,234
16,0,32,255
17,0,32,255
18,0,77,0
19,0,77,32
20,0,77,64
21,0,64,116
22,0,64,155
23,0,64,194
24,0,64,234
25,0,64,255
26,0,64,255
27,0,116,0
28,0,116,32
29,0,116,64
30,0,116,96
31,0,96,155
32,0,96,194
33,0,96,234
34,0,96,255
35,0,96,255
36,0,155,0
37,0,155,32
38,0,155,64
39,0,155,96
40,0,155,128
41,0,128,194
42,0,128,234
43,0,128,255
44,0,128,255
45,0,194,0
46,0,194,32
47,0,194,64
48,0,194,96
49,0,194,128
50,0,194,160
51,0,160,234
52,0,160,255
53,0,160,255
54,0,234,0
55,0,234,32
56,0,234,64
57,0,234,96
58,0,234,128
59,0,234,160
60,0,234,192
61,0,192,255
62,0,192,255
63,0,255,0
64,0,255,32
65,0,255,64
66,0,255,96
67,0,255,128
68,0,255,160
69,0,255,192
70,0,255,224
71,0,224,255
72,0,255,0
73,0,255,32
74,0,255,64
75,0,255,96
76,0,255,128
77,0,255,160
78,0,255,192
79,0,255,224
80,0,255,255
81,38,0,0
82,38,0,32
83,32,0,77
84,32,0,116
85,32,0,155
86,32,0,194
87,32,0,234
88,32,0,255
89,32,0,255
90,38,32,0
91,32,32,32
92,25,32,70
93,19,32,109
94,12,32,148
95,4,32,187
96,0,32,226
97,0,32,255
98,0,32,255
99,32,77,0
100,25,70,32
101,25,70,64
102,19,64,109
103,12,64,148
104,4,64,187
105,0,64,226
106,0,64,255
107,0,64,255
108,32,116,0
109,19,109,32
110,19,109,64
111,19,109,96
112,12,96,148
113,4,96,187
114,0,96,226
115,0,96,255
116,0,96,255
117,32,155,0
118,12,148,32
119,12,148,64
120,12,148,96
121,12,148,128
122,4,128,187
123,0,128,226
124,0,128,255
125,0,128,255
126,32,194,0
127,4,187,32
128,4,187,64
129,4,187,96
130,4,187,128
131,4,187,160
132,0,160,226
133,0,160,255
134,0,160,255
135,32,234,0
136,0,226,32
137,0,226,64
138,0,226,96
139,0,226,128
140,0,226,160
141,0,226,192
142,0,192,255
143,0,192,255
144,32,255,0
145,0,255,32
