,R,G,B
0,0,0,0
1,0,0,12
2,0,0,40
3,0,0,80
4,0,0,126
5,0,0,173
6,0,0,214
7,0,0,244
8,0,0,255
9,0,12,0
10,0,12,12
11,0,12,40
12,0,12,80
13,0,12,126
14,0,12,173
15,0,12,214
16,0,12,244
17,0,12,255
18,0,40,0
19,0,40,12
20,0,40,40
21,0,40,80
22,0,40,126
23,0,40,173
24,0,40,214
25,0,40,244
26,0,40,255
27,0,80,0
28,0,80,12
29,0,80,40
30,0,80,80
31,0,80,126
32,0,80,173
33,0,80,214
34,0,80,244
35,0,80,255
36,0,126,0
37,0,126,12
38,0,126,40
39,0,126,80
40,0,126,126
41,0,126,173
42,0,126,214
43,0,126,244
44,0,126,255
45,0,173,0
46,0,173,12
47,0,173,40
48,0,173,80
49,0,173,126
50,0,173,173
51,0,173,214
52,0,173,244
53,0,173,255
54,0,214,0
55,0,214,12
56,0,214,40
57,0,214,80
58,0,214,126
59,0,214,173
60,0,214,214
61,0,214,244
62,0,214,255
63,0,244,0
64,0,244,12
65,0,244,40
66,0,244,80
67,0,244,126
68,0,244,173
69,0,244,214
70,0,244,244
71,0,244,255
72,0,255,0
73,0,255,12
74,0,255,40
75,0,255,80
76,0,255,126
77,0,255,173
78,0,255,214
79,0,255,244
80,0,255,255
81,12,0,0
82,12,0,12
83,12,0,40
84,12,0,80
85,12,0,126
86,12,0,173
87,12,0,214
88,12,0,244
89,12,0,255
90,12,12,0
91,12,12,12
92,12,12,40
93,12,12,80
94,12,12,126
95,12,12,173
96,12,12,214
97,12,12,244
98,12,12,255
99,12,40,0
100,12,40,12
101,12,40,40
102,12,40,80
103,12,40,126
104,12,40,173
105,12,40,214
106,12,40,244
107,12,40,255
108,12,80,0
109,12,80,12
110,12,80,40
111,12,80,80
112,12,80,126
113,12,80,173
114,12,80,214
115,12,80,244
116,12,80,255
117,12,126,0
118,12,126,12
119,12,126,40
120,12,126,80
121,12,126,126
122,12,126,173
123,12,126,214
124,12,126,244
125,12,126,255
126,12,173,0
127,12,173,12
128,12,173,40
129,12,173,80
130,12,173,126
131,12,173,173
132,12,173,214
133,12,173,244
134,12,173,255
135,12,214,0
136,12,214,12
137,12,214,40
138,12,214,80
139,12,214,126
140,12,214,173
141,12,214,214
142,12,214,244
143,12,214,255
144,12,244,0
145,12,244,12
146,12,244,40
147,12,244,80
148,12,244,126
149,12,244,173
150,12,244,214
151,12,244,244
152,12,244,255
153,12,255,0
154,12,255,12
155,12,255,40
156,12,255,80
157,12,255,126
158,12,255,173
159,12,255,214
160,12,255,244
161,12,255,255
162,40,0,0
163,40,0,12
164,40,0,40
165,40,0,80
166,40,0,126
167,40,0,173
168,40,0,214
169,40,0,244
170,40,0,255
171,40,12,0
172,40,12,12
173,40,12,40
174,40,12,80
175,40,12,126
176,40,12,173
177,40,12,214
178,40,12,244
179,40,12,255
180,40,40,0
181,8,8,2
182,8,8,8
183,40,40,80
184,7,7,184
185,0,0,241
186,20,20,235
187,40,40,244
188,40,40,255
189,40,80,0
190,40,80,12
191,40,80,40
192,40,80,80
193,22,80,154
194,2,58,232
195,40,80,214
196,40,80,244
197,40,80,255
198,40,126,0
199,40,126,12
200,3,193,3
201,17,162,80
202,40,126,126
203,40,126,173
204,0,141,255
205,12,116,255
206,40,125,255
207,40,173,0
208,40,173,12
209,40,173,40
210,0,240,53
211,40,173,126
212,40,173,173
213,0,213,255
214,40,173,244
215,40,173,255
216,40,214,0
217,40,214,12
218,40,214,40
219,40,214,80
220,40,214,126
221,40,214,173
222,40,214,214
223,40,214,244
224,40,214,255
225,40,244,0
226,40,244,12
227,40,244,40
228,40,244,80
229,40,244,126
230,40,244,173
231,40,244,214
232,40,244,244
233,40,244,255
234,40,255,0
235,40,255,12
236,40,255,40
237,40,255,80
238,40,255,126
239,40,255,173
240,40,255,214
241,40,255,244
242,40,255,255
243,80,0,0
244,80,0,12
245,80,0,40
246,80,0,80
247,80,0,126
248,80,0,173
249,80,0,214
250,80,0,244
251,80,0,255
252,80,12,0
253,80,12,12
254,80,12,40
255,80,12,80
256,80,12,126
257,80,12,173
258,80,12,214
259,80,12,244
260,80,12,255
261,80,40,0
262,80,40,12
263,23,8,8
264,80,40,80
265,80,40,126
266,58,2,234
267,66,20,235
268,59,16,254
269,80,40,255
270,80,80,0
271,80,80,12
272,23,23,8
273,23,23,23
274,80,80,126
275,32,32,223
276,80,80,214
277,53,53,253
278,80,80,255
279,80,126,0
280,80,126,12
281,80,126,40
282,50,160,50
283,80,126,126
284,56,126,199
285,12,116,255
286,41,103,255
287,80,126,255
288,80,173,0
289,80,173,12
290,80,173,40
291,25,230,25
292,50,205,126
293,80,173,173
294,12,204,255
295,41,183,255
296,80,173,255
297,80,214,0
298,80,214,12
299,80,214,40
300,80,214,80
301,80,214,126
302,80,214,173
303,80,214,214
304,80,214,244
305,80,214,255
306,80,244,0
307,80,244,12
308,80,244,40
309,80,244,80
310,80,244,126
311,80,244,173
312,80,244,214
313,80,244,244
314,80,244,255
315,80,255,0
316,80,255,12
317,80,255,40
318,80,255,80
319,80,255,126
320,80,255,173
321,80,255,214
322,80,255,244
323,80,255,255
324,126,0,0
325,126,0,12
326,126,0,40
327,126,0,80
328,126,0,126
329,126,0,173
330,126,0,214
331,126,0,244
332,126,0,255
333,126,12,0
334,126,12,12
335,126,12,40
336,126,12,80
337,126,12,126
338,126,12,173
339,126,12,214
340,126,12,244
341,126,12,255
342,126,40,0
343,126,40,12
344,126,40,40
345,126,40,80
346,126,40,126
347,126,40,173
348,126,40,214
349,126,40,244
350,126,40,255
351,126,80,0
352,126,80,12
353,126,80,40
354,126,80,80
355,126,80,126
356,126,80,173
357,126,80,214
358,126,80,244
359,126,80,255
360,126,126,0
361,126,126,12
362,126,126,40
363,56,56,23
364,56,56,56
365,97,97,200
366,41,41,255
367,126,126,244
368,126,126,255
369,126,173,0
370,126,173,12
371,126,173,40
372,126,204,51
373,91,204,91
374,56,107,107
375,41,183,255
376,82,173,255
377,126,173,255
378,126,214,0
379,126,214,12
380,126,214,40
381,126,214,80
382,61,252,61
383,126,214,173
384,126,214,214
385,82,227,255
386,126,214,255
387,126,244,0
388,126,244,12
389,126,244,40
390,126,244,80
391,126,244,126
392,126,244,173
393,126,244,214
394,126,244,244
395,126,244,255
396,126,255,0
397,126,255,12
398,126,255,40
399,126,255,80
400,126,255,126
401,126,255,173
402,126,255,214
403,126,255,244
404,126,255,255
405,173,0,0
406,173,0,12
407,173,0,40
408,173,0,80
409,173,0,126
410,173,0,173
411,173,0,214
412,173,0,244
413,173,0,255
414,173,12,0
415,173,12,12
416,173,12,40
417,173,12,80
418,173,12,126
419,173,12,173
420,173,12,214
421,173,12,244
422,173,12,255
423,173,40,0
424,214,24,0
425,237,1,1
426,173,40,80
427,243,0,156
428,173,40,173
429,173,40,214
430,173,40,244
431,173,40,255
432,173,80,0
433,173,80,12
434,229,59,3
435,220,35,35
436,236,18,125
437,201,53,201
438,173,80,214
439,173,80,244
440,173,80,255
441,173,126,0
442,173,126,12
443,173,126,40
444,197,125,56
445,107,56,56
446,187,110,187
447,107,56,172
448,173,126,244
449,173,126,255
450,173,173,0
451,173,173,12
452,173,173,40
453,173,173,80
454,107,107,56
455,107,107,107
456,144,144,235
457,128,143,255
458,173,173,255
459,173,214,0
460,173,214,12
461,173,214,40
462,173,214,80
463,173,214,126
464,138,237,138
465,173,214,214
