,R,G,B
0,0,0,0
1,0,0,41
2,0,0,82
3,0,0,123
4,0,0,164
5,0,0,204
6,0,0,243
7,0,0,255
8,0,0,255
9,0,41,0
10,0,41,32
11,0,32,82
12,0,32,123
13,0,32,164
14,0,32,204
15,0,32,243
16,0,32,255
17,0,32,255
18,0,82,0
19,0,82,32
20,0,82,64
21,0,64,123
22,0,64,164
23,0,64,204
24,0,64,243
25,0,64,255
26,0,64,255
27,0,123,0
28,0,123,32
29,0,123,64
30,0,123,96
31,0,96,164
32,0,96,204
33,0,96,243
34,0,96,255
35,0,96,255
36,0,164,0
37,0,164,32
38,0,164,64
39,0,164,96
40,0,164,128
41,0,128,204
42,0,128,243
43,0,128,255
44,0,128,255
45,0,204,0
46,0,204,32
47,0,204,64
48,0,204,96
49,0,204,128
50,0,204,160
51,0,160,243
52,0,160,255
53,0,160,255
54,0,243,0
55,0,243,32
56,0,243,64
57,0,243,96
58,0,243,128
59,0,243,160
60,0,243,192
61,0,192,255
62,0,192,255
63,0,255,0
64,0,255,32
65,0,255,64
66,0,255,96
67,0,255,128
68,0,255,160
69,0,255,192
70,0,255,224
71,0,224,255
72,0,255,0
73,0,255,32
74,0,255,64
75,0,255,96
76,0,255,128
77,0,255,160
78,0,255,192
79,0,255,224
80,0,255,255
81,41,0,0
82,41,0,32
83,32,0,82
84,32,0,123
85,32,0,164
86,32,0,204
87,32,0,243
88,32,0,255
89,32,0,255
90,41,32,0
91,32,32,32
92,22,32,73
93,13,32,114
94,4,32,155
95,0,32,196
96,0,32,236
97,0,32,255
98,0,32,255
99,32,82,0
100,22,73,32
101,22,73,64
102,13,64,114
103,4,64,155
104,0,64,196
105,0,64,236
106,0,64,255
107,0,64,255
108,32,123,0
109,13,114,32
110,13,114,64
111,13,114,96
112,4,96,155
113,0,96,196
114,0,96,236
115,0,96,255
116,0,96,255
117,32,164,0
118,4,155,32
119,4,155,64
120,4,155,96
121,4,155,128
122,0,128,196
123,0,128,236
124,0,128,255
125,0,128,255
126,32,204,0
127,0,196,32
128,0,196,64
129,0,196,96
130,0,196,128
131,0,196,160
132,0,160,236
133,0,160,255
134,0,160,255
135,32,243,0
136,0,236,32
137,0,236,64
138,0,236,96
139,0,236,128
140,0,236,160
141,0,236,192
142,0,192,255
143,0,192,255
144,32,255,0
145,0,255,32
146,0,255,64
147,0,255,96
148,0,255,128
149,0,255,160
150,0,255,192
151,0,255,224
152,0,224,255
153,32,255,0
154,0,255,32
155,0,255,64
156,0,255,96
157,0,255,128
158,0,255,160
159,0,255,192
160,0,255,224
161,0,255,255
162,82,0,0
163,82,0,32
164,82,0,64
165,64,0,123
166,64,0,164
167,64,0,204
168,64,0,243
169,64,0,255
170,64,0,255
171,82,32,0
172,73,22,32
173,73,22,64
174,64,13,114
175,64,4,155
176,64,0,196
177,64,0,236
178,64,0,255
179,64,0,255
180,82,64,0
