,R,G,B
0,0,0,0
1,0,0,44
2,0,0,85
3,0,0,125
4,0,0,164
5,0,0,203
6,0,0,242
7,0,0,255
8,0,0,255
9,0,44,0
10,0,44,32
11,0,32,85
12,0,32,125
13,0,32,164
14,0,32,203
15,0,32,242
16,0,32,255
17,0,32,255
18,0,85,0
19,0,85,32
20,0,85,64
21,0,64,125
22,0,64,164
23,0,64,203
24,0,64,242
25,0,64,255
26,0,64,255
27,0,125,0
28,0,125,32
29,0,125,64
30,0,125,96
31,0,96,164
32,0,96,203
33,0,96,242
34,0,96,255
35,0,96,255
36,0,164,0
37,0,164,32
38,0,164,64
39,0,164,96
40,0,164,128
41,0,128,203
42,0,128,242
43,0,128,255
44,0,128,255
45,0,203,0
46,0,203,32
47,0,203,64
48,0,203,96
49,0,203,128
50,0,203,160
51,0,160,242
52,0,160,255
53,0,160,255
54,0,242,0
55,0,242,32
56,0,242,64
57,0,242,96
58,0,242,128
59,0,242,160
60,0,242,192
61,0,192,255
62,0,192,255
63,0,255,0
64,0,255,32
65,0,255,64
66,0,255,96
67,0,255,128
68,0,255,160
69,0,255,192
70,0,255,224
71,0,224,255
72,0,255,0
73,0,255,32
74,0,255,64
75,0,255,96
76,0,255,128
77,0,255,160
78,0,255,192
79,0,255,224
80,0,255,255
81,44,0,0
82,44,0,32
83,32,0,85
84,32,0,125
85,32,0,164
86,32,0,203
87,32,0,242
88,32,0,255
89,32,0,255
90,44,32,0
91,32,32,32
92,20,32,76
93,11,32,117
94,3,32,157
95,0,32,196
96,0,32,235
97,0,32,255
98,0,32,255
99,32,85,0
100,20,76,32
101,20,76,64
102,11,64,117
103,3,64,157
104,0,64,196
105,0,64,235
106,0,64,255
107,0,64,255
108,32,125,0
109,11,117,32
110,11,117,64
111,11,117,96
112,3,96,157
113,0,96,196
114,0,96,235
115,0,96,255
116,0,96,255
117,32,164,0
118,3,157,32
119,3,157,64
120,3,157,96
121,3,157,128
122,0,128,196
123,0,128,235
124,0,128,255
125,0,128,255
126,32,203,0
127,0,196,32
128,0,196,64
129,0,196,96
130,0,196,128
131,0,196,160
132,0,160,235
133,0,160,255
134,0,160,255
135,32,242,0
136,0,235,32
137,0,235,64
138,0,235,96
