,R,G,B
0,0,0,0
1,0,0,59
2,0,0,100
3,0,0,139
4,0,0,176
5,0,0,212
6,0,0,248
7,0,0,255
8,0,0,255
9,0,59,0
10,0,59,32
11,0,32,100
12,0,32,139
13,0,32,176
14,0,32,212
15,0,32,248
16,0,32,255
17,0,32,255
18,0,100,0
19,0,100,32
20,0,100,64
21,0,64,139
22,0,64,176
23,0,64,212
24,0,64,248
25,0,64,255
26,0,64,255
27,0,139,0
28,0,139,32
29,0,139,64
30,0,139,96
31,0,96,176
32,0,96,212
33,0,96,248
34,0,96,255
35,0,96,255
36,0,176,0
37,0,176,32
38,0,176,64
39,0,176,96
40,0,176,128
41,0,128,212
42,0,128,248
43,0,128,255
44,0,128,255
45,0,212,0
46,0,212,32
47,0,212,64
48,0,212,96
49,0,212,128
50,0,212,160
51,0,160,248
52,0,160,255
53,0,160,255
54,0,248,0
55,0,248,32
56,0,248,64
57,0,248,96
58,0,248,128
59,0,248,160
60,0,248,192
61,0,192,255
62,0,192,255
63,0,255,0
64,0,255,32
65,0,255,64
66,0,255,96
67,0,255,128
68,0,255,160
69,0,255,192
70,0,255,224
71,0,224,255
72,0,255,0
73,0,255,32
74,0,255,64
75,0,255,96
76,0,255,128
77,0,255,160
78,0,255,192
79,0,255,224
80,0,255,255
81,59,0,0
82,59,0,32
83,32,0,100
84,32,0,139
85,32,0,176
86,32,0,212
87,32,0,248
88,32,0,255
89,32,0,255
90,59,32,0
91,32,32,32
92,4,32,91
93,0,32,132
94,0,32,171
95,0,32,208
96,0,32,244
97,0,32,255
98,0,32,255
99,32,100,0
100,4,91,32
101,4,91,64
102,0,64,132
103,0,64,171
104,0,64,208
105,0,64,244
106,0,64,255
107,0,64,255
108,32,139,0
109,0,132,32
110,0,132,64
111,0,132,96
112,0,96,171
113,0,96,208
114,0,96,244
115,0,96,255
116,0,96,255
117,32,176,0
118,0,171,32
119,0,171,64
120,0,171,96
121,0,171,128
122,0,128,208
123,0,128,244
124,0,128,255
125,0,128,255
126,32,212,0
127,0,208,32
128,0,208,64
129,0,208,96
130,0,208,128
131,0,208,160
132,0,160,244
133,0,160,255
134,0,160,255
135,32,248,0
136,0,244,32
137,0,244,64
138,0,244,96
139,0,244,128
140,0,244,160
141,0,244,192
142,0,192,255
143,0,192,255
144,32,255,0
145,0,255,32
146,0,255,64
147,0,255,96
148,0,255,128
149,0,255,160
150,0,255,192
151,0,255,224
152,0,224,255
153,32,255,0
154,0,255,32
155,0,255,64
156,0,255,96
157,0,255,128
158,0,255,160
159,0,255,192
160,0,255,224
161,0,255,255
162,100,0,0
163,100,0,32
164,100,0,64
165,64,0,139
166,64,0,176
167,64,0,212
168,64,0,248
169,64,0,255
170,64,0,255
171,100,32,0
172,91,4,32
173,91,4,64
174,64,0,132
175,64,0,171
176,64,0,208
177,64,0,244
178,64,0,255
179,64,0,255
180,100,64,0
181,45,26,0
182,26,26,26
183,36,64,123
184,0,24,218
185,0,4,255
186,0,43,255
187,11,64,255
188,7,64,255
189,64,139,0
190,64,132,0
191,36,123,64
192,36,123,96
193,1,96,191
194,0,79,255
195,15,96,240
196,11,96,255
197,7,96,255
198,64,176,0
199,64,171,0
200,0,227,17
201,0,197,96
202,27,164,128
203,21,128,203
204,0,138,255
205,0,121,255
206,7,127,255
207,64,212,0
208,64,208,0
209,21,203,64
210,0,255,75
211,21,203,128
212,21,203,160
213,0,191,255
214,11,160,255
215,7,160,255
216,64,248,0
217,64,244,0
218,15,240,64
219,15,240,96
220,15,240,128
221,15,240,160
222,15,240,192
223,11,192,255
224,7,192,255
225,64,255,0
226,64,255,0
227,11,255,64
228,11,255,96
229,11,255,128
230,11,255,160
231,11,255,192
232,11,255,224
233,7,224,255
234,64,255,0
235,64,255,0
236,7,255,64
237,7,255,96
238,7,255,128
239,7,255,160
240,7,255,192
241,7,255,224
242,7,255,255
243,139,0,0
244,139,0,32
245,139,0,64
246,139,0,96
247,96,0,176
248,96,0,212
249,96,0,248
250,96,0,255
251,96,0,255
252,139,32,0
253,132,0,32
254,132,0,64
255,132,0,96
256,96,0,171
257,96,0,208
258,96,0,244
259,96,0,255
260,96,0,255
261,139,64,0
262,132,64,0
263,70,2,26
264,123,36,96
265,96,27,164
266,79,0,255
267,85,0,255
268,80,0,255
269,96,7,255
270,139,96,0
271,132,96,0
272,70,47,2
273,47,47,47
274,68,96,155
275,5,56,250
276,53,96,235
277,21,75,255
278,43,96,255
279,96,176,0
280,96,171,0
281,96,164,27
282,32,190,72
283,68,155,128
284,33,128,223
285,0,121,255
286,8,112,255
287,43,128,255
288,96,212,0
289,96,208,0
290,96,203,21
291,0,255,49
292,26,229,128
293,59,196,160
294,0,183,255
295,8,167,255
296,43,160,255
297,96,248,0
298,96,244,0
299,96,240,15
300,53,235,96
301,53,235,128
302,53,235,160
303,53,235,192
304,47,192,255
305,43,192,255
306,96,255,0
307,96,255,0
308,96,255,11
309,47,255,96
310,47,255,128
311,47,255,160
312,47,255,192
313,47,255,224
314,43,224,255
315,96,255,0
316,96,255,0
317,96,255,7
318,43,255,96
319,43,255,128
320,43,255,160
321,43,255,192
322,43,255,224
323,43,255,255
324,176,0,0
325,176,0,32
326,176,0,64
327,176,0,96
328,176,0,128
329,128,0,212
330,128,0,248
331,128,0,255
332,128,0,255
333,176,32,0
334,171,0,32
335,171,0,64
336,171,0,96
337,171,0,128
338,128,0,208
339,128,0,244
340,128,0,255
341,128,0,255
342,176,64,0
343,171,64,0
344,164,27,64
345,164,27,96
346,164,27,128
347,128,21,203
348,128,15,240
349,128,11,255
350,128,7,255
351,176,96,0
352,171,96,0
353,164,96,27
354,155,68,96
355,155,68,128
356,128,59,196
357,128,53,235
358,128,47,255
359,128,43,255
360,176,128,0
361,171,128,0
362,164,128,27
363,104,77,20
364,77,77,77
365,69,108,218
366,8,65,255
367,85,128,255
368,80,128,255
369,128,212,0
370,128,208,0
371,128,203,21
372,128,228,27
373,64,222,104
374,47,144,115
375,8,167,255
376,44,160,255
377,80,160,255
378,128,248,0
379,128,244,0
380,128,240,15
381,128,235,53
382,28,255,81
383,91,228,160
384,91,228,192
385,44,204,255
386,80,192,255
387,128,255,0
388,128,255,0
389,128,255,11
390,128,255,47
391,85,255,128
392,85,255,160
393,85,255,192
394,85,255,224
395,80,224,255
396,128,255,0
397,128,255,0
398,128,255,7
399,128,255,43
400,80,255,128
401,80,255,160
402,80,255,192
403,80,255,224
404,80,255,255
405,212,0,0
406,212,0,32
407,212,0,64
408,212,0,96
409,212,0,128
410,212,0,160
411,160,0,248
412,160,0,255
413,160,0,255
414,212,32,0
415,208,0,32
416,208,0,64
417,208,0,96
418,208,0,128
419,208,0,160
420,160,0,244
421,160,0,255
422,160,0,255
423,212,64,0
424,248,48,0
425,255,0,8
426,203,21,96
427,255,0,148
428,203,21,160
429,160,15,240
430,160,11,255
431,160,7,255
432,212,96,0
433,208,96,0
434,255,80,0
435,246,9,59
436,255,0,127
437,225,30,181
438,160,53,235
439,160,47,255
440,160,43,255
441,212,128,0
442,208,128,0
443,203,128,21
444,222,127,33
445,144,47,77
446,204,83,170
447,115,36,199
448,160,85,255
449,160,80,255
450,212,160,0
451,208,160,0
452,203,160,21
453,196,160,59
454,144,115,47
455,115,115,115
456,101,140,250
457,81,139,255
458,117,160,255
459,160,248,0
460,160,244,0
461,160,240,15
462,160,235,53
463,160,228,91
464,96,254,136
465,132,219,192
466,81,197,255
467,117,198,255
468,160,255,0
469,160,255,0
470,160,255,11
471,160,255,47
472,160,255,85
473,123,255,160
474,123,255,192
475,123,255,224
476,117,224,255
477,160,255,0
478,160,255,0
479,160,255,7
480,160,255,43
481,160,255,80
482,117,255,160
483,117,255,192
484,117,255,224
485,117,255,255
486,248,0,0
487,248,0,32
488,248,0,64
489,248,0,96
490,248,0,128
491,248,0,160
492,248,0,192
493,192,0,255
494,192,0,255
495,248,32,0
496,244,0,32
497,244,0,64
498,244,0,96
